Designator,Mid X,Mid Y,Rotation,Layer
C1,152.8494,-116.295,90.0,top
C10,147.85,-105.0,0.0,top
C11,138.7994,-127.095,270.0,top
C12,140.441,-83.6,90.0,top
C13,161.85,-86.4,180.0,top
C14,137.4,-81.859,0.0,top
C15,137.4,-79.7,0.0,top
C16,161.85,-88.6,180.0,top
C17,149.3494,-128.045,0.0,top
C18,152.7,-106.0,180.0,top
C19,147.85,-109.2,0.0,top
C2,162.65,-100.9,270.0,top
C20,143.8494,-125.545,180.0,top
C21,144.6,-83.6,90.0,top
C22,157.1994,-123.695,180.0,top
C23,150.1494,-119.145,0.0,top
C24,142.5,-83.6,90.0,top
C25,153.05,-78.4,180.0,top
C26,157.1,-82.4,180.0,top
C27,137.4,-86.159,0.0,top
C28,154.8494,-119.495,90.0,top
C29,137.4,-84.0,0.0,top
C3,154.05,-81.3,270.0,top
C30,158.0494,-117.075,90.0,top
C31,147.85,-100.8,0.0,top
C32,149.85,-78.4,0.0,top
C33,160.4,-82.4,0.0,top
C34,147.85,-102.9,0.0,top
C35,165.55,-90.5,180.0,top
C36,155.7494,-115.045,90.0,top
C4,156.2875,-102.85,270.0,top
C41,145.5994,-116.745,90.0,top
C5,158.8875,-98.45,0.0,top
C6,147.85,-107.1,0.0,top
C7,146.7,-83.65,90.0,top
C8,161.85,-84.2,180.0,top
C9,137.2494,-127.095,270.0,top
D1,165.15,-83.9,0.0,top
D2,165.15,-86.108,0.0,top
D3,156.5494,-127.295,180.0,top
D4,156.4494,-125.495,180.0,top
D5,165.15,-88.3,0.0,top
H10,160.868,-112.2756,0.0,top
H7,135.5442,-112.2756,0.0,top
H8,143.985466,-112.2756,0.0,top
H9,152.426732,-112.2756,0.0,top
J1,140.7894,-127.495,90.0,top
J2,161.6894,-118.645,0.0,top
J3,130.3,-91.475,0.0,top
J4,165.85,-93.4,0.0,top
J5,141.86,-74.1,0.0,top
Q1,135.25,-91.15,180.0,top
Q2,132.35,-83.6,90.0,top
Q3,141.55,-97.25,180.0,top
Q4,143.35,-89.1,90.0,top
Q5,135.3,-100.2,270.0,top
Q6,142.15,-106.45,0.0,top
Q7,145.35,-79.9,180.0,top
Q8,151.15,-81.0,0.0,top
R10,156.0875,-98.75,0.0,top
R11,153.8494,-125.595,0.0,top
R12,153.8494,-127.395,0.0,top
R13,155.45,-93.2,90.0,top
R14,150.55,-96.8,180.0,top
R15,152.7,-107.2,180.0,top
R16,150.55,-92.8,180.0,top
R17,163.45,-97.4,90.0,top
R2,154.1494,-115.495,270.0,top
R20,154.5494,-121.495,180.0,top
R21,142.05,-80.9,0.0,top
R22,142.15,-79.7,180.0,top
R23,148.25,-80.5,270.0,top
R24,155.7494,-117.095,270.0,top
R25,153.5494,-119.495,270.0,top
R26,159.1494,-117.095,90.0,top
R27,156.9494,-117.095,270.0,top
R29,148.0994,-116.945,90.0,top
R4,159.7494,-119.395,270.0,top
R5,148.2696,-115.1966,180.0,top
R6,158.6945,-103.614,0.0,top
R7,154.3875,-100.65,90.0,top
R8,154.3875,-102.75,90.0,top
R9,156.0875,-100.15,180.0,top
RST1,155.8,-96.7,0.0,bottom
SW1,155.7,-101.4,180.0,bottom
TH1,146.9994,-116.945,90.0,top
U1,159.3875,-101.05,0.0,top
U11,157.5,-78.9,90.0,top
U12,152.05,-75.0,90.0,top
U2,139.068,-119.9718,90.0,top
U3,154.95,-86.8,0.0,top
U4,148.0499,-125.245,90.0,top
U5,160.0,-93.2,0.0,top
U6,146.711799,-121.812152,90.0,top
U7,149.400095,-121.939147,270.0,top
U9,157.3494,-120.395,270.0,top
