Designator,Mid X,Mid Y,Rotation,Layer
C1,152.35,-99.45,0.0,top
C10,135.33,-102.7,315.0,bottom
C11,134.28,-101.67,315.0,bottom
C12,150.46,-110.0,270.0,bottom
C13,147.52,-109.94,270.0,bottom
C14,138.45,-105.8,315.0,bottom
C15,136.37,-103.73,315.0,bottom
C16,149.0,-109.97,270.0,bottom
C17,149.83,-81.32,90.0,bottom
C18,156.01,-85.86,180.0,top
C19,137.41,-104.76,315.0,bottom
C2,143.49,-96.88,292.5,top
C20,148.58,-81.34,90.0,bottom
C21,153.42,-88.49,270.0,top
C22,136.24,-88.62,180.0,bottom
C23,147.55,-81.54,90.0,bottom
C24,149.55,-114.46,0.0,top
C25,158.9,-93.02,270.0,bottom
C26,145.95,-89.92,315.0,bottom
C27,155.39,-114.57,270.0,top
C28,135.54,-82.79,135.0,bottom
C29,143.79,-115.16,270.0,top
C3,143.93,-95.52,292.5,top
C30,133.1,-87.21,225.0,bottom
C31,140.92,-94.69,0.0,bottom
C32,151.41,-97.43,337.5,bottom
C33,150.83,-101.54,0.0,bottom
C34,154.06,-91.44,292.5,top
C35,152.24,-109.86,270.0,bottom
C36,146.42,-83.8,180.0,top
C37,153.59125,-85.68,0.0,top
C4,137.16,-93.58,0.0,bottom
C41,151.29125,-81.28,90.0,bottom
C5,132.81,-88.9,0.0,bottom
C6,150.94,-98.61,90.0,top
C7,139.48,-106.84,315.0,bottom
C8,146.02,-109.94,270.0,bottom
C9,155.13,-78.12,180.0,bottom
D1,159.969056,-75.979055,148.0,top
D2,166.7,-82.62,122.0,top
J1,167.54,-87.345001,0.0,top
J2,167.54,-96.1,0.0,top
J4,149.59,-113.15,270.0,bottom
R1,143.62,-106.56,150.0,bottom
R11,157.18,-79.63,180.0,bottom
R12,158.56,-78.6,180.0,bottom
R13,144.99,-86.96,0.0,top
R15,156.01,-84.93,0.0,top
R17,149.63,-117.71,270.0,top
R2,149.63,-115.85,90.0,top
R22,146.43,-84.8,180.0,top
R23,155.63,-88.49,180.0,top
R24,138.7,-86.57,0.0,bottom
R25,146.11,-86.01,180.0,top
R26,138.77,-88.04,270.0,bottom
R27,133.34,-94.99,90.0,bottom
R29,152.88,-81.45,180.0,bottom
R3,139.43,-99.67,225.0,bottom
R4,165.81,-96.04,90.0,bottom
R5,166.46,-92.3,90.0,bottom
R6,143.48,-79.08,90.0,bottom
R7,137.34,-87.52,180.0,bottom
R8,155.37,-87.43,180.0,top
R9,155.51,-89.43,0.0,top
SW1,152.6,-116.4,90.0,top
SW2,146.5,-116.4,270.0,top
TH1,154.13,-80.37,180.0,bottom
U1,146.53,-100.22,292.5,bottom
U10,150.4625,-109.697501,180.0,top
U11,132.66,-91.46,270.0,bottom
U2,149.99125,-85.53,270.0,top
U3,134.76,-85.8,45.0,bottom
U4,146.8,-76.7,189.6,top
U6,152.4,-76.8,170.4,top
U7,149.6,-76.5,180.0,top
