Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10nF,C15195
"C10, C11, C12, C13, C14, C15, C16, C19, C7, C8",0603,10,10uF,C194427
"C17, C20, C23",0402,3,1nF,C1523
"C18, C28, C3, C35, C36, C37, C41",0402,7,100nF,C307331
C2,0402,1,22nF,C1532
"C22, C9",0402,2,1uF,C52923
C30,0402,1,100pF,C1546
"C4, C5",0402,2,4.7uF,C23733
C6,0402,1,220nF,C16772
D1,0603,1,KT-0603R,C2286
D2,0603,1,MHT192UGCT,C389519
J4,PinSocket_1x06_P2.00mm_Vertical,1,Conn_01x06_Socket,
"R1, R3",2010,2,150m,C421741
R11,0402,1,470R,C25117
"R12, R26, R8",0402,3,1.5k,C25867
"R13, R15, R17, R2, R22, R23, R24, R25, R4, R5, R6, R7",0402,12,10k,C25744
R27,0603,1,18k,C25810
R29,0402,1,4.7k,C25900
"SW1, SW2",TS3735PA-250gf,2,TS3735PA-250gf,C393946
TH1,0402,1,100k 1% NTC,C236279
U1,QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm_ThermalVias,1,GC6609,C16197208
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN,C8963
U11,SOT-23-3,1,XC6206PxxxMR,C5446
U2,QFN-28_4x4mm_P0.5mm,1,STM32G031G8Ux,C432211
U3,SOT-23-5,1,LM321,C19723728
"U4, U6, U7",SOT-23,3,AH49HSC,C510723
