Designator,Mid X,Mid Y,Rotation,Layer
C1,150.62,-101.33,202.5,bottom
C10,135.33,-102.7,315.0,bottom
C11,134.28,-101.67,315.0,bottom
C12,150.46,-110.0,270.0,bottom
C13,147.52,-109.94,270.0,bottom
C14,138.45,-105.8,315.0,bottom
C15,136.37,-103.73,315.0,bottom
C16,149.0,-109.97,270.0,bottom
C17,149.84,-80.77,90.0,bottom
C18,143.9,-84.45,0.0,bottom
C19,137.41,-104.76,315.0,bottom
C2,143.060162,-98.00783,112.5,bottom
C20,150.94,-80.77,90.0,bottom
C21,144.77,-81.84,0.0,bottom
C22,136.81,-88.02,180.0,bottom
C23,151.99,-81.07,90.0,bottom
C28,135.54,-82.79,135.0,bottom
C3,143.54,-96.21,292.5,bottom
C30,133.1,-87.21,225.0,bottom
C35,151.76,-110.26,270.0,bottom
C36,153.19,-82.87,180.0,bottom
C37,145.94,-85.02,0.0,bottom
C4,138.96,-93.15,180.0,bottom
C41,148.24,-81.07,90.0,bottom
C5,132.81,-88.9,0.0,bottom
C6,152.24,-98.62,180.0,bottom
C7,139.48,-106.84,315.0,bottom
C8,146.02,-109.94,270.0,bottom
C9,144.64,-80.47,90.0,bottom
D1,159.969056,-75.979055,148.0,top
D2,166.7,-82.62,122.0,top
J1,138.25,-79.27,135.0,top
J2,167.57,-95.66,0.0,top
J4,149.59,-113.15,270.0,bottom
R1,143.62,-106.56,150.0,bottom
R11,157.29,-79.62,180.0,bottom
R12,158.56,-78.6,180.0,bottom
R13,158.359375,-85.209375,225.0,bottom
R15,142.0,-84.05,0.0,bottom
R17,149.63,-117.31,270.0,top
R2,149.63,-115.45,90.0,top
R22,153.19,-83.87,180.0,bottom
R23,144.79,-88.52,90.0,bottom
R24,143.05,-91.7,0.0,bottom
R25,153.19,-84.87,180.0,bottom
R26,140.66,-90.55,0.0,bottom
R27,133.34,-94.99,90.0,bottom
R29,146.64,-81.72,0.0,bottom
R3,139.43,-99.67,225.0,bottom
R4,161.97,-92.95,270.0,bottom
R5,161.74,-95.63,270.0,bottom
R6,143.0,-92.68,0.0,bottom
R8,144.98,-86.46,0.0,bottom
SW1,152.6,-116.4,90.0,top
SW2,146.5,-116.4,270.0,top
TH1,146.64,-80.77,0.0,bottom
U1,146.53,-100.22,292.5,bottom
U10,150.4625,-109.697501,180.0,top
U11,132.66,-91.46,90.0,bottom
U2,149.54,-84.87,270.0,bottom
U3,134.76,-85.8,45.0,bottom
U4,146.8,-76.7,189.6,top
U6,152.4,-76.8,170.4,top
U7,149.6,-76.5,180.0,top
