Designator,Mid X,Mid Y,Rotation,Layer
C1,160.4,-110.05,45,T
C2,147.5,-117.55,180,T
C3,157,-117.1,0,T
C4,156.2,-111.2,180,T
C5,135.4,-87.9,0,T
C6,147.7,-112.9,0,T
C7,145.55,-108.75,90,T
C8,147.55,-109.1,90,T
C9,155,-78.55,90,T
C10,139.3,-116.4,-90,T
C11,148.5,-115.4,90,T
C12,143.55,-108.75,90,T
C13,145.75,-115.2,180,T
C14,157.2,-108.7,90,T
C15,160.05,-101.7,180,T
C16,160.75,-104.5,90,T
C17,150.05,-73.15,90,T
C18,156.85,-75.5,-90,T
C19,162.8,-102.4,90,T
C20,149.05,-73.15,90,T
C21,157.95,-105.95,180,T
C22,125.5,-98.15,-90,T
C23,148.05,-73.15,90,T
C24,157.95,-103.9,180,T
C25,131.95,-101.9,-90,T
C26,135.55,-96.9,0,T
C27,144.4,-113.4,180,T
C28,127.3,-92.3,180,T
C29,142.75,-111.45,180,T
C30,129.65,-95.1,90,T
C31,141.55,-108.75,90,T
C32,131.8,-109.25,0,T
C33,135.4,-89.95,0,T
C34,142.9,-105.75,0,T
C35,164.3,-98.05,0,T
C36,130.05,-98.1,-90,T
C37,153.25,-78.5,90,T
C38,134.75,-100,90,T
C39,163.6,-108.4,0,T
C40,165.6,-106.4,0,T
C41,151.35,-72.55,90,T
C42,138.05,-103.7,90,T
C43,140.1,-105.15,90,T
D1,136.9,-111.2,0,T
D3,167.1,-79.6,135,T
D4,163.2,-75.7,135,T
R1,154.45,-108.15,-90,T
R2,162.15,-99.6,0,T
R3,141.8,-117,180,T
R4,139.3,-82,90,T
R5,138.2,-82,-90,T
R6,144.45,-76.2,180,T
R7,140.35,-82,90,T
R8,150.15,-108.5,-90,T
R11,160.65,-74.6,0,T
R12,164.4,-78.4,0,T
R13,164.25,-89.2,180,T
R15,158.2,-75.25,-90,T
R17,164.1,-99.6,0,T
R20,125.15,-92.1,90,T
R22,166.75,-104.65,0,T
R23,125.75,-90.5,180,T
R24,128.2,-97.25,180,T
R25,129.4,-92.5,-90,T
R26,127.65,-98.8,-90,T
R27,128.75,-98.8,90,T
R29,153.7,-72.55,90,T
SW1,157.55,-131.7,0,T
SW2,141.55,-131.7,180,T
TH1,152.65,-72.55,90,T
U5,152.3,-115.1,0,T
U8,149.55,-78.3,180,T
U9,126.75,-94.85,180,T
U10,164.3,-93.55,-90,T
U11,134.2,-93.55,180,T
U12,131.4,-105.65,90,T
