# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 25 350000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 17:00:40
# move_sent_at_s: 1.006810
# n_samples: 1734
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,1156,2312000,-1939675,14010297,7023
0.004182,769,1538000,787225,1815542,2022
0.009442,858,1716000,3611825,21874,2612
0.013743,639,1278000,6806300,-295299,3803
0.017972,366,732000,8505300,-360921,4334
0.026621,158,316000,9485750,-864023,4364
0.030880,32,64000,9852350,349984,5013
0.034994,-31,-62000,9851775,-317173,4625
0.039130,-38,-76000,9828250,-317173,4607
0.043212,36,72000,9802775,459354,5046
0.047339,2,4000,9760600,207803,4869
0.051438,-17,-34000,9741025,-120307,4681
0.055502,-10,-20000,9694000,65622,4756
0.059923,-21,-42000,9661300,-98433,4649
0.064098,-22,-44000,9599650,-164055,4586
0.068349,40,80000,9542150,656220,5019
0.072659,-31,-62000,9498825,-218740,4501
0.076806,14,28000,9460300,229677,4745
0.080870,34,68000,9417350,459354,4856
0.085059,11,22000,9362600,273425,4716
0.089420,-31,-62000,9314775,-185929,4427
0.093601,-4,-8000,9267725,229677,4633
0.097676,3,6000,9219675,207803,4606
0.101793,-16,-32000,9190150,-142181,4402
0.106051,-35,-70000,9165275,-306236,4292
0.110135,-30,-60000,9140025,-251551,4311
0.114209,-39,-78000,9115925,-240614,4296
0.118351,4,8000,9092525,207803,4545
0.122541,-20,-40000,9068425,-87496,4366
0.126953,-40,-80000,9054200,-339047,4216
0.131146,-1,-2000,9036500,-32811,4395
0.135350,9,18000,9024000,76559,4452
0.140203,-20,-40000,9012025,-131244,4317
0.144360,43,86000,9001350,568724,4715
0.148899,-23,-46000,8976700,-164055,4281
0.158904,-18,-36000,8961550,10937,4364
0.163064,11,22000,8989650,-21874,4390
0.167142,43,86000,8990850,404669,4630
0.171415,-61,-122000,8980975,-568724,4048
0.175511,13,26000,8976700,349984,4567
0.179794,-29,-58000,8981575,-317173,4202
0.183986,58,116000,8956750,699968,4772
0.189943,1,2000,8952700,-54685,4346
0.194191,1,2000,8920000,0,4356
0.198186,30,60000,8922525,251551,4509
0.202295,38,76000,8925825,426543,4604
0.208084,12,24000,8922325,229677,4480
0.212734,-25,-50000,8934050,-339047,4172
0.216871,5,10000,8923725,32811,4378
0.225749,-93,-186000,8918650,-1071826,3741
0.229906,112,224000,8899000,1137448,5010
0.234085,-5,-10000,8900125,-76559,4303
0.238330,10,20000,8881850,306236,4496
0.242417,-39,-78000,8881775,-437480,4085
0.246463,-57,-114000,8865575,-557787,4001
0.250525,-34,-68000,8857225,-349984,4121
0.254665,-11,-22000,8852800,-142181,4242
0.258828,-56,-112000,8840800,-459354,4038
0.263000,-36,-72000,8838625,-262488,4152
0.267207,-7,-14000,8864950,-131244,4258
0.271382,2,4000,8872350,-32811,4318
0.275610,1,2000,8872425,-98433,4285
0.279682,-36,-72000,8864525,-503102,4048
0.283761,-43,-86000,8862125,-601535,3991
0.290312,19,38000,8833350,393732,4524
0.294580,-24,-48000,8846800,-207803,4195
0.298705,-60,-120000,8857225,-678094,3935
0.302958,-11,-22000,8862925,-229677,4205
0.307081,2,4000,8872625,-98433,4286
0.311495,27,54000,8872500,251551,4481
0.315857,-22,-44000,8863000,-153118,4231
0.323530,-17,-34000,8864150,-196866,4215
0.327804,21,42000,8877550,262488,4483
0.331948,-33,-66000,8888550,-492165,4068
0.336072,44,88000,8895025,349984,4557
0.340191,-3,-6000,8908900,-153118,4272
0.344368,-17,-34000,8910525,-306236,4185
0.348428,23,46000,8910725,273425,4507
0.352566,-20,-40000,8917475,-142181,4265
0.356783,16,32000,8930100,251551,4499
0.360842,0,0,8920250,-21874,4345
0.364903,34,68000,8903500,328110,4541
0.369717,4,8000,8898425,43748,4370
0.373936,17,34000,8912850,32811,4385
0.378116,34,68000,8906925,426543,4591
0.382936,4,8000,8896400,164055,4428
0.393933,32,64000,8870950,437480,4576
0.398129,-61,-122000,8825025,-426543,4041
0.402145,6,12000,8839150,-21874,4311
0.406312,17,34000,8859825,10937,4348
0.410450,20,40000,8870375,87496,4393
0.415067,-73,-146000,8849725,-765590,3876
0.429491,19,38000,8851025,174992,4426
0.433776,-30,-60000,8881500,-262488,4179
0.438004,19,38000,8896975,87496,4406
0.442168,5,10000,8906075,-32811,4338
0.446237,-14,-28000,8889700,-185929,4236
0.450302,66,132000,8884075,667157,4728
0.454332,22,44000,8873700,328110,4515
0.458387,-60,-120000,8868325,-546850,4005
0.462410,-11,-22000,8859050,-142181,4246
0.466510,97,194000,8862650,1006204,4914
0.470621,-47,-94000,8866300,-503102,4038
0.475040,5,10000,8869925,196866,4432
0.479317,25,50000,8887075,404669,4561
0.483541,-26,-52000,8880325,-240614,4193
0.489921,20,40000,8874725,251551,4476
0.494205,7,14000,8853900,153118,4405
0.498378,29,58000,8854275,229677,4464
0.502484,10,20000,8839925,87496,4369
0.506568,-24,-48000,8836925,-185929,4201
0.510717,16,32000,8845100,109370,4388
0.514755,55,110000,8870625,535913,4647
0.518815,35,70000,8870525,349984,4536
0.523141,-47,-94000,8866650,-535913,4022
0.527314,-29,-58000,8858150,-306236,4147
0.531493,34,68000,8839975,328110,4510
0.535718,19,38000,8846625,185929,4429
0.539952,-1,-2000,8846900,54685,4346
0.544133,11,22000,8845275,284362,4469
0.548365,-52,-104000,8844350,-459354,4043
0.554876,24,48000,8847750,262488,4472
0.559111,-83,-166000,8849050,-1028078,3738
0.563152,-44,-88000,8842575,-524976,4018
0.567175,98,196000,8829825,1104637,4947
0.571401,-22,-44000,8832200,-65622,4259
