# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 5.0
# set_pid: 
# move_rotations: 
# move_time_s: 
# move_delay_s: 
# capture_started: 2026-07-07 16:59:31
# move_sent_at_s: 
# n_samples: 1109
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,830,1660000,799075,-114828,1145
0.004288,899,1798000,1410830,251528,1690
0.008451,844,1688000,1981295,32808,1808
0.012582,811,1622000,2519955,-60148,1993
0.016730,785,1570000,3055160,-180444,2170
0.020888,819,1638000,3578475,32808,2563
0.025096,776,1552000,4110890,-147636,2693
0.029408,629,1258000,4579155,-71084,2815
0.037248,636,1272000,4981020,185912,3144
0.048466,608,1216000,5725365,92956,3435
0.052722,363,726000,6577980,131232,3630
0.056900,306,612000,6785855,27340,3626
0.061031,281,562000,6977525,-21872,3671
0.065235,308,616000,7163290,142168,3868
0.069404,346,692000,7350640,360888,4103
0.073613,261,522000,7532775,-65616,3901
0.077779,289,578000,7711710,98424,4096
0.081909,228,456000,7876960,-98424,4021
0.086117,242,484000,8033400,-16404,4151
0.090308,137,274000,8165270,-142168,4051
0.094533,138,276000,8252670,92956,4210
0.098768,91,182000,8299130,125764,4203
0.102994,-32,-64000,8325650,-344484,3866
0.108799,30,60000,8341220,38276,4121
0.113055,-97,-194000,8338835,-475716,3745
0.117183,-14,-28000,8329550,43744,4075
0.126672,22,44000,8318365,262464,4211
0.130997,41,82000,8275255,404632,4278
0.135157,37,74000,8252745,366356,4245
0.139334,-28,-56000,8229505,-5468,3988
0.143549,-72,-144000,8206940,-174976,3852
0.147849,-35,-70000,8186010,5468,3966
0.152118,51,102000,8169240,448376,4258
0.156383,-28,-56000,8152380,43744,3975
0.160587,-61,-122000,8135905,-169508,3830
0.166154,-28,-56000,8120135,-49212,3914
0.176963,-43,-86000,8096010,-21872,3900
0.181252,8,16000,8066515,136700,4013
0.185400,-10,-20000,8053160,38276,3941
0.189598,-21,-42000,8045050,-43744,3886
0.193725,-14,-28000,8033685,92956,3954
0.198575,48,96000,8025660,322612,4123
0.209350,52,104000,8010115,366356,4141
0.213562,15,30000,7981610,207784,4013
0.217688,-46,-92000,7972330,-218720,3741
0.221757,8,16000,7964155,92956,3942
0.225844,47,94000,7954080,366356,4109
0.229926,-94,-188000,7943205,-415568,3584
0.233996,48,96000,7940735,289804,4066
0.238223,59,118000,7930675,421036,4136
0.242870,-57,-114000,7921625,-218720,3706
0.247117,4,8000,7907675,174976,3951
0.252886,-10,-20000,7899395,38276,3866
0.257363,4,8000,7889060,71084,3891
0.261779,-3,-6000,7881925,60148,3875
0.265994,-65,-130000,7872790,-267932,3650
0.270222,41,82000,7863965,256996,4005
0.275267,70,140000,7857635,431972,4116
0.279518,-35,-70000,7849630,-120296,3740
0.284463,-72,-144000,7844980,-333548,3597
0.294430,-25,-50000,7837015,-54680,3776
0.298644,-7,-14000,7819660,103892,3862
0.302699,19,38000,7808815,218720,3938
0.306836,-50,-100000,7802140,-224188,3651
0.310956,-10,-20000,7791845,27340,3808
0.315113,4,8000,7784845,114828,3861
0.319195,-14,-28000,7779490,-27340,3772
0.323345,-32,-64000,7772755,-98424,3716
0.327597,-39,-78000,7766905,-174976,3669
0.331710,-7,-14000,7761005,-5468,3780
0.335871,-68,-136000,7754885,-339016,3555
0.339979,12,24000,7748390,103892,3846
0.344204,-64,-128000,7737900,-273400,3582
0.348317,4,8000,7733320,71084,3815
0.352446,-54,-108000,7725005,-273400,3586
0.356584,-28,-56000,7719755,-180444,3654
0.360806,-68,-136000,7712185,-344484,3531
0.364917,-72,-144000,7707340,-349952,3522
0.369071,8,16000,7698665,76552,3804
0.373194,-72,-144000,7694935,-339016,3521
0.377370,51,102000,7683900,410100,4002
0.382151,-35,-70000,7681110,-180444,3628
0.389775,23,46000,7669670,251528,3890
0.394406,11,22000,7655060,120296,3807
0.398612,26,52000,7649425,224188,3870
0.403000,1,2000,7641655,38276,3751
0.408398,-3,-6000,7633530,27340,3738
0.414250,-28,-56000,7626140,-120296,3638
0.418493,-21,-42000,7618215,-54680,3673
0.422606,44,88000,7614380,295272,3905
0.426719,-7,-14000,7609975,16404,3717
0.430948,-14,-28000,7602765,-5468,3696
0.435061,-72,-144000,7591755,-289804,3495
0.439194,-10,-20000,7586785,-5468,3692
0.443342,-83,-166000,7582270,-415568,3418
0.447457,-14,-28000,7583715,-76552,3652
0.452090,-39,-78000,7576010,-153104,3586
0.456216,-28,-56000,7570735,-92956,3624
0.460249,-7,-14000,7562170,32808,3702
0.464372,-14,-28000,7557905,-49212,3653
0.468722,15,30000,7557350,114828,3761
0.472923,8,16000,7551205,98424,3743
0.477184,40,80000,7546750,273400,3857
0.481433,66,132000,7543835,371824,3930
0.485577,-39,-78000,7539740,-180444,3555
0.489757,48,96000,7533605,317144,3880
0.494138,4,8000,7525665,92956,3724
0.498715,-97,-194000,7517590,-535864,3314
0.502843,-7,-14000,7515460,-49212,3639
0.507083,-65,-130000,7516930,-377292,3423
0.512929,12,24000,7512775,98424,3728
0.517093,4,8000,7507040,71084,3704
0.521193,68,136000,7501215,448376,3948
0.525291,-6,-12000,7499345,-49212,3632
0.529483,4,8000,7495475,71084,3699
0.533638,33,66000,7493310,180444,3779
0.537821,-10,-20000,7488125,-5468,3644
0.541984,12,24000,7485260,82020,3707
0.546149,26,52000,7487495,142168,3751
0.550201,40,80000,7482765,251528,3816
0.554335,4,8000,7480705,87488,3699
0.558483,26,52000,7476285,185912,3767
0.562701,4,8000,7471355,76552,3689
0.566827,-46,-92000,7464810,-180444,3512
0.570940,-10,-20000,7463435,-76552,3597
0.575015,-24,-48000,7459935,-114828,3563
0.579622,-65,-130000,7458680,-273400,3445
0.584264,-28,-56000,7455580,-147636,3541
0.588558,-18,-36000,7450010,-43744,3599
0.592747,15,30000,7441440,153104,3723
0.596970,-61,-122000,7435050,-267932,3440
0.601054,15,30000,7431510,147636,3715
0.605355,-54,-108000,7424985,-262464,3445
0.611014,-39,-78000,7424620,-180444,3499
0.615298,-36,-72000,7421035,-174976,3503
