# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 25 350000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 12:24:05
# move_sent_at_s: 1.004710
# n_samples: 1945
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-1415,-2830000,-2301750,-3685769,-4305
0.004094,-1577,-3154000,-8131525,951519,-5046
0.008278,-558,-1116000,-11882350,3445155,-4665
0.012372,1282,2564000,-10651000,4429485,-1786
0.016441,2588,5176000,-4205775,2515510,1702
0.020699,2737,5474000,4564650,98433,4950
0.024820,1451,2902000,11722600,-3696706,5336
0.028920,-140,-280000,13818075,-4057627,4629
0.033145,-1340,-2680000,11151525,-2362392,2983
0.037269,-1486,-2972000,6138350,339047,1712
0.041391,-777,-1554000,2442800,1935849,1379
0.045466,-88,-176000,1156125,1312440,1119
0.049583,160,320000,1435125,164055,937
0.053667,-1,-2000,1726000,-295299,698
0.057812,-262,-524000,1314450,-798401,-4
0.061974,-235,-470000,572025,-174992,-36
0.066119,-171,-342000,-21550,-65622,-210
0.070202,-171,-342000,-592600,164055,-376
0.074241,-126,-252000,-1211100,710905,-367
0.078300,-127,-254000,-1681125,196866,-849
0.082388,-121,-242000,-2122025,229677,-1042
0.086469,-200,-400000,-2639050,-514039,-1735
0.090634,-93,-186000,-3054050,240614,-1465
0.094767,-75,-150000,-3333650,-10937,-1706
0.098932,-27,-54000,-3473025,32811,-1706
0.103008,-7,-14000,-3505400,-153118,-1793
0.107023,5,10000,-3521650,207803,-1613
0.111049,-14,-28000,-3561550,-10937,-1758
0.115118,-37,-74000,-3589275,-360921,-1965
0.119119,-13,-26000,-3583725,-142181,-1832
0.123226,30,60000,-3575825,360921,-1540
0.127267,33,66000,-3558400,360921,-1529
0.131318,17,34000,-3577500,317173,-1575
0.135405,18,36000,-3597475,306236,-1589
0.139555,-6,-12000,-3594275,-76559,-1798
0.143633,10,20000,-3578225,43748,-1716
0.147628,54,108000,-3567900,579661,-1406
0.151721,31,62000,-3562550,317173,-1554
0.155825,20,40000,-3574100,218740,-1619
0.159860,24,48000,-3585350,339047,-1562
0.163948,7,14000,-3582100,0,-1742
0.168075,40,80000,-3577925,437480,-1494
0.172191,-49,-98000,-3569375,-579661,-2074
0.176206,7,14000,-3560575,0,-1732
0.180268,60,120000,-3561400,699968,-1339
0.184368,57,114000,-3561700,623409,-1379
0.188508,14,28000,-3570800,196866,-1634
0.192652,-41,-82000,-3561650,-481228,-2014
0.196849,-12,-24000,-3578525,-131244,-1823
0.200946,23,46000,-3572550,218740,-1615
0.205037,-29,-58000,-3567850,-328110,-1931
0.209098,-64,-128000,-3573650,-721842,-2160
0.213118,30,60000,-3571425,295299,-1570
