# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 25 175000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 12:17:03
# move_sent_at_s: 1.004120
# n_samples: 1920
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,1598,3196000,2081925,2870700,3979
0.004177,1507,3014000,8676600,-1252172,5097
0.008248,-20,-40000,11289175,-2220008,4409
0.012329,-2211,-4422000,7641425,-2772276,218
0.016371,-3574,-7148000,-2114300,-1164684,-5091
0.020449,-2301,-4602000,-11969000,2400452,-6919
0.024491,496,992000,-15239750,4319720,-4848
0.028674,3617,7234000,-8432525,3701836,1222
0.032842,4354,8708000,6227525,-1055324,6777
0.036875,1571,3142000,15908200,-3712772,7489
0.040998,-1420,-2840000,16158250,-3926024,4586
0.045116,-4153,-8306000,6795450,-3258928,-2329
0.049222,-4060,-8120000,-7801275,1684144,-6952
0.053330,-1107,-2214000,-16148675,4281444,-6876
0.057444,2396,4792000,-14406225,4932136,-2286
0.061551,5198,10396000,-1529550,2750404,5672
0.065640,3126,6252000,13097800,-3789324,7598
0.069776,258,516000,18496950,-3805728,7425
0.073973,-2855,-5710000,14118650,-3915088,2194
0.078067,-4848,-9696000,1061825,-1848184,-5118
0.082174,-2871,-5742000,-12236950,3559668,-7041
0.086235,290,580000,-16775925,4975880,-5479
0.090278,3839,7678000,-10238725,4779032,1083
0.094366,4955,9910000,5108575,-519460,7080
0.098453,2035,4070000,16185500,-3630752,8118
0.102601,-1069,-2138000,17835925,-4412676,5510
0.106774,-3870,-7740000,9669400,-3548732,-791
0.110954,-4444,-8888000,-4995750,874880,-6352
0.115030,-1621,-3242000,-15091950,4018980,-6990
0.119186,1764,3528000,-15322425,5249280,-3196
0.123252,4888,9776000,-4186175,3619816,4497
0.127265,3697,7394000,10824275,-3144100,7360
0.131386,831,1662000,17878425,-3658092,7755
0.135613,-2160,-4320000,15557825,-3581540,3738
0.139926,-4533,-9066000,3709800,-2192668,-3686
0.144147,-3151,-6302000,-10587375,3220652,-6674
0.148553,-235,-470000,-16269750,3936960,-6251
0.152820,3644,7288000,-9973900,4248636,763
0.156989,4748,9496000,5224475,-749116,6822
0.161020,1913,3826000,16086600,-3483116,8022
0.165151,-1093,-2186000,17483075,-4347060,5347
0.169294,-3824,-7648000,9312450,-3395628,-845
0.173418,-4330,-8660000,-5062950,918624,-6252
0.177570,-1669,-3338000,-14791750,3576072,-7106
0.181829,1776,3552000,-14853325,4877456,-3137
0.186007,4805,9610000,-3418525,3116760,4545
0.190268,3350,6700000,11553650,-3483116,7212
0.194440,386,772000,17854575,-3920556,7181
0.198599,-2597,-5194000,14134950,-3685432,2566
0.202951,-4514,-9028000,1974250,-1399808,-4128
0.207095,-2731,-5462000,-11814400,3308140,-6820
0.211206,165,330000,-16089650,4270508,-5610
0.215432,3774,7548000,-9297850,4275976,1233
0.219532,4631,9262000,6006475,-896752,7017
0.223832,1731,3462000,16149950,-3920556,7662
0.227985,-1370,-2740000,16954050,-4155680,4911
0.232198,-3993,-7986000,7830850,-3018336,-1550
0.236286,-3924,-7848000,-6602125,2127052,-6017
0.240686,-1334,-2668000,-15130725,3685432,-6891
0.245021,2510,5020000,-13287475,4943072,-1623
0.249234,4954,9908000,-482175,2050500,5604
0.253385,2741,5482000,13342950,-3909620,7283
0.257473,-1,-2000,17817275,-3679964,6902
0.261610,-3030,-6060000,12820275,-4024448,1336
0.265850,-4606,-9212000,-436750,-1027984,-5213
0.269983,-2495,-4990000,-12592450,2974592,-7133
0.274035,661,1322000,-15821250,4937604,-4669
0.278073,3962,7924000,-8369825,4319720,1892
0.282227,4454,8908000,6473475,-1432616,6811
0.286375,1651,3302000,16331625,-3433904,7910
0.290480,-1350,-2700000,16756100,-3893216,4962
0.294627,-3963,-7926000,7748975,-3012868,-1558
0.298755,-3982,-7964000,-6398800,1580252,-6241
0.302891,-1346,-2692000,-14953825,3455776,-6929
0.307028,2109,4218000,-13874100,4773564,-2384
0.311120,4790,9580000,-2077225,2493408,4881
0.315186,3118,6236000,11819225,-3844004,6939
0.319297,371,742000,17637000,-3936960,7052
0.323466,-2693,-5386000,13950200,-4319720,2073
0.327679,-4572,-9144000,1628450,-1771632,-4535
0.331872,-2766,-5532000,-11288575,3357352,-6574
0.335934,152,304000,-15828750,4101000,-5578
0.340023,3613,7226000,-9808950,4718884,1043
0.344098,4648,9296000,4827500,-601480,6603
0.348118,1909,3818000,15439700,-4068192,7417
0.352199,-902,-1804000,17259025,-4057256,5565
0.356268,-3597,-7194000,9845325,-3275332,-305
0.360399,-4310,-8620000,-4015225,688968,-5833
0.364507,-1871,-3742000,-14033425,3094888,-7168
0.368562,1407,2814000,-14932425,4729820,-3608
0.372604,4428,8856000,-5221675,3384692,3427
0.376596,3799,7598000,9289925,-2788680,6884
0.380770,1085,2170000,16997300,-3597944,7602
0.384812,-1964,-3928000,15614125,-4166616,3672
0.389073,-4259,-8518000,5322025,-2591832,-2826
0.393240,-3515,-7030000,-8784225,2099712,-6697
0.397435,-609,-1218000,-15566050,3882280,-6300
0.401582,2879,5758000,-11919325,4625928,-750
0.405796,4893,9786000,1576650,1284980,6176
0.410022,2462,4924000,14179675,-3488584,7625
0.414185,-494,-988000,17449375,-3794792,6185
