# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 50 350000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 12:36:17
# move_sent_at_s: 1.006007
# n_samples: 1931
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-280,-560000,-702750,-864023,-1038
0.004088,-103,-206000,-2543600,1498369,-611
0.008181,-93,-186000,-3423200,54685,-1736
0.012301,-40,-80000,-3932350,470291,-1730
0.016400,-48,-96000,-4655800,721842,-1968
0.020508,13,26000,-5077950,645283,-2152
0.024693,-5,-10000,-5169300,43748,-2508
0.028810,-57,-114000,-5310100,-404669,-2846
0.032844,-6,-12000,-5434250,142181,-2590
0.036921,-34,-68000,-5487750,-207803,-2814
0.040997,-25,-50000,-5627350,54685,-2745
0.045106,-54,-108000,-5715250,-437480,-3057
0.049234,-71,-142000,-5753150,-623409,-3183
0.053364,3,6000,-5841750,142181,-2780
0.057445,-1,-2000,-5879400,-43748,-2893
0.061476,21,42000,-5921000,339047,-2705
0.065602,53,106000,-6005700,721842,-2528
0.069718,21,42000,-6010900,218740,-2808
0.073914,35,70000,-6018250,415606,-2701
0.078056,-50,-100000,-6089800,-404669,-3220
0.082289,38,76000,-6076300,382795,-2743
0.086409,10,20000,-6055750,153118,-2872
0.090476,-27,-54000,-6084450,-174992,-3083
0.094546,-57,-114000,-6072750,-612472,-3320
0.098623,-19,-38000,-6069200,-174992,-3067
0.102745,54,108000,-6050350,481228,-2667
0.106902,-9,-18000,-6019750,-65622,-2980
0.110986,-25,-50000,-5964550,-382795,-3124
0.115131,47,94000,-5937400,481228,-2618
0.119324,-13,-26000,-5902000,-196866,-2991
0.123435,55,110000,-5923650,689031,-2502
0.127554,18,36000,-5893300,131244,-2796
0.131676,34,68000,-5892100,448417,-2625
0.135751,109,218000,-5857350,1115574,-2209
0.139821,-66,-132000,-5842750,-699968,-3259
0.143913,-50,-100000,-5860650,-557787,-3183
0.148002,47,94000,-5845750,612472,-2509
0.152062,3,6000,-5828050,-54685,-2869
0.156172,-25,-50000,-5816200,-229677,-2977
0.160371,-30,-60000,-5853650,-284362,-3026
0.164455,-29,-58000,-5870700,-284362,-3034
0.168542,0,0,-5883900,32811,-2857
0.172716,-24,-48000,-5907500,-229677,-3020
0.176838,35,70000,-5876650,273425,-2702
0.181034,-11,-22000,-5838600,-207803,-2963
0.185145,31,62000,-5870150,360921,-2660
0.189170,26,52000,-5843900,273425,-2695
0.193251,-29,-58000,-5848050,-393732,-3076
0.197366,-36,-72000,-5845950,-481228,-3125
0.201437,12,24000,-5848750,142181,-2775
0.205591,-34,-68000,-5835550,-382795,-3070
0.209687,-48,-96000,-5876750,-503102,-3162
0.213772,13,26000,-5859100,65622,-2816
0.217834,14,28000,-5866350,174992,-2765
0.221901,-35,-70000,-5894150,-328110,-3072
0.225933,-23,-46000,-5893750,-229677,-3012
0.230024,2,4000,-5880200,10937,-2864
0.234061,54,108000,-5859150,579661,-2525
0.238209,-27,-54000,-5855750,-295299,-3030
0.242357,-4,-8000,-5862250,-21874,-2877
0.246496,-2,-4000,-5878300,0,-2872
0.250572,-22,-44000,-5873950,-262488,-3018
0.254703,-8,-16000,-5856150,-142181,-2937
0.258804,21,42000,-5837100,229677,-2717
0.262932,0,0,-5786200,-54685,-2852
0.267104,-13,-26000,-5783250,-142181,-2906
0.271245,54,108000,-5771300,623409,-2461
0.275286,-46,-92000,-5728550,-514039,-3093
0.279359,-41,-82000,-5742350,-404669,-3042
0.283417,-20,-40000,-5696550,-339047,-2967
0.287467,-46,-92000,-5719400,-459354,-3062
0.291533,11,22000,-5731100,131244,-2724
0.295800,2,4000,-5675400,-32811,-2785
0.299891,73,146000,-5679150,710905,-2355
0.303982,40,80000,-5658750,360921,-2548
0.308040,17,34000,-5592400,174992,-2629
