# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 5.0
# set_pid: 
# move_rotations: 
# move_time_s: 
# move_delay_s: 
# capture_started: 2026-07-07 12:03:23
# move_sent_at_s: 
# n_samples: 1212
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,1434,2868000,482250,1618528,2426
0.004245,2069,4138000,1966565,-475716,2748
0.008348,1218,2436000,3152195,-1580252,1957
0.012369,-411,-822000,3429835,-2362176,120
0.016447,-1687,-3374000,2772060,-1760696,-1154
0.020516,-2245,-4490000,1474095,-393696,-1665
0.024628,-2177,-4354000,50305,235124,-1987
0.028775,-1615,-3230000,-1169440,497588,-1905
0.032855,-1075,-2150000,-2003140,278868,-1892
0.036890,-912,-1824000,-2591050,5468,-2153
0.040941,-1127,-2254000,-3212075,-431972,-2880
0.045081,-1294,-2588000,-3969745,-333548,-3365
0.049230,-1162,-2324000,-4746775,-103892,-3503
0.053316,-736,-1472000,-5355205,546800,-3067
0.057365,-629,-1258000,-5777795,-114828,-3492
0.061440,-525,-1050000,-6125495,76552,-3466
0.065501,-540,-1080000,-6459490,-87488,-3724
0.069511,-477,-954000,-6784655,158572,-3701
0.073575,-518,-1036000,-7094115,-147636,-4042
0.077611,-381,-762000,-7389335,371824,-3799
0.081802,-347,-694000,-7655920,328080,-3917
0.085931,-309,-618000,-7893600,147636,-4084
0.090019,-186,-372000,-8056930,191380,-4022
0.094149,35,70000,-8126515,590544,-3645
0.098287,24,48000,-8119365,-153104,-4016
0.102436,66,132000,-8064670,-142168,-3943
0.106522,18,36000,-8009515,-360888,-4070
0.110620,-4,-8000,-7966880,-377292,-4078
0.114835,15,30000,-7934065,-92956,-3905
0.118975,29,58000,-7907175,27340,-3819
0.123110,35,70000,-7891770,60148,-3790
0.127175,2,4000,-7880990,-120296,-3905
0.131322,106,212000,-7863440,371824,-3554
0.135420,60,120000,-7834585,38276,-3748
0.139515,0,0,-7810800,-191380,-3907
