# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 50 700000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 21:15:48
# move_sent_at_s: 1.005967
# n_samples: 1918
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-637,-1274000,-3016150,2712500,-770
0.004105,-514,-1028000,-7427450,2865625,-2729
0.008344,-329,-658000,-10492700,1159375,-4879
0.012490,-66,-132000,-11637250,284375,-5608
0.016624,161,322000,-10970150,196875,-5103
0.020779,159,318000,-9646550,-896875,-4993
0.024979,52,104000,-8737000,-1268750,-4835
0.029190,72,144000,-8277750,459375,-3747
0.033411,70,140000,-8074400,1137500,-3319
0.037641,-36,-72000,-8021750,-721875,-4305
0.041877,10,20000,-8109850,481250,-3715
0.046074,-83,-166000,-8168300,-1575000,-4839
0.050291,-53,-106000,-8224300,-1028125,-4570
0.054420,-9,-18000,-8263150,-65625,-4076
0.058640,20,40000,-8345200,634375,-3746
0.062780,-21,-42000,-8380150,-393750,-4305
0.066903,44,88000,-8386850,984375,-3572
0.070988,9,18000,-8373950,153125,-4005
0.075168,46,92000,-8354950,1028125,-3533
0.079370,-35,-70000,-8333050,-787500,-4488
0.083593,-21,-42000,-8315200,-306250,-4230
0.087749,54,108000,-8303500,1028125,-3500
0.091923,18,36000,-8326950,525000,-3792
0.095982,5,10000,-8314700,-21875,-4066
0.100069,13,26000,-8317550,218750,-3942
0.104267,-54,-108000,-8294450,-1246875,-4712
0.108386,-17,-34000,-8285250,-481250,-4297
0.112508,-16,-32000,-8274750,-415625,-4259
0.116628,-11,-22000,-8271450,-371875,-4231
0.120763,34,68000,-8268000,634375,-3694
0.125014,23,46000,-8268600,568750,-3737
0.129197,-26,-52000,-8272150,-568750,-4342
0.133362,28,56000,-8270900,678125,-3680
0.137437,-2,-4000,-8299750,-153125,-4129
0.141649,14,28000,-8284750,284375,-3893
0.145782,-9,-18000,-8236750,-459375,-4255
0.149932,-18,-36000,-8228500,-328125,-4196
0.154042,-2,-4000,-8213450,-131250,-4077
0.158238,35,70000,-8193650,590625,-3678
0.162400,15,30000,-8197900,525000,-3732
0.166499,45,90000,-8207950,1050000,-3451
0.170673,16,32000,-8227700,481250,-3767
0.174919,24,48000,-8238500,590625,-3711
0.179012,-1,-2000,-8278400,240625,-3926
0.183158,51,102000,-8291500,1050000,-3486
0.187271,66,132000,-8278550,1400000,-3294
0.191458,7,14000,-8269350,240625,-3913
0.195665,-46,-92000,-8261450,-1071875,-4602
0.199857,-44,-88000,-8306750,-700000,-4441
0.203933,63,126000,-8258400,1203125,-3383
0.208095,12,24000,-8253650,262500,-3890
0.212288,39,78000,-8274400,875000,-3575
0.216372,-14,-28000,-8264700,-371875,-4231
0.220439,9,18000,-8265750,262500,-3899
0.224524,23,46000,-8243300,306250,-3853
0.228690,15,30000,-8232200,284375,-3866
0.232787,3,6000,-8207450,131250,-3941
0.236878,40,80000,-8181650,831250,-3550
0.240974,35,70000,-8174500,743750,-3594
0.245090,-1,-2000,-8183850,0,-3997
0.249255,-16,-32000,-8202200,-393750,-4213
0.253326,-15,-30000,-8214900,-131250,-4090
0.257449,42,84000,-8210750,1006250,-3477
0.261579,-10,-20000,-8226000,-284375,-4165
0.265776,-31,-62000,-8234750,-590625,-4340
0.269948,-28,-56000,-8241800,-656250,-4372
0.274078,-37,-74000,-8239900,-656250,-4380
0.278319,24,48000,-8224250,568750,-3715
0.282478,89,178000,-8204100,1815625,-3032
0.286648,43,86000,-8214500,1050000,-3456
0.290804,-47,-94000,-8202000,-1225000,-4649
0.294854,3,6000,-8176500,21875,-3979
0.298934,32,64000,-8166350,721875,-3604
0.303181,-15,-30000,-8163650,-415625,-4204
0.307303,-62,-124000,-8191750,-1290625,-4691
0.311463,-35,-70000,-8191300,-765625,-4408
0.315532,-7,-14000,-8200950,-43750,-4033
0.319644,-14,-28000,-8265050,21875,-4039
0.323820,17,34000,-8227200,175000,-3915
0.327986,-41,-82000,-8233250,-831250,-4466
0.332114,-5,-10000,-8224750,-65625,-4053
