# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 25 350000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 21:40:41
# move_sent_at_s: 1.005060
# n_samples: 1854
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-408,-816000,-605075,-503102,-940
0.004371,-287,-574000,-1765050,273425,-1009
0.008603,-279,-558000,-2779675,-43748,-1651
0.012802,-160,-320000,-3564025,710905,-1549
0.016963,-223,-446000,-4217325,-306236,-2427
0.021230,-85,-170000,-4711300,448417,-2164
0.025505,0,0,-4984000,623409,-2129
0.029660,-89,-178000,-5103275,-678094,-2910
0.033899,-14,-28000,-5147475,-21874,-2538
0.038197,35,70000,-5168975,470291,-2260
0.042465,-52,-104000,-5194800,-535913,-2849
0.046723,-24,-48000,-5194950,-360921,-2736
0.050952,-40,-80000,-5197500,-371858,-2758
0.055198,61,122000,-5194875,612472,-2178
0.059652,44,88000,-5172025,328110,-2322
0.063884,3,6000,-5145075,32811,-2493
0.068133,16,32000,-5127900,65622,-2456
0.072369,-54,-108000,-5108450,-743716,-2910
0.077577,-2,-4000,-5102050,43748,-2472
0.081884,-39,-78000,-5088125,-459354,-2747
0.086117,51,102000,-5044975,426543,-2205
0.090374,47,94000,-5036200,481228,-2178
0.094716,68,136000,-5024350,601535,-2093
0.098937,78,156000,-4998575,798401,-1975
0.103085,26,52000,-4971425,229677,-2290
0.107242,-60,-120000,-4954675,-689031,-2814
0.111384,8,16000,-4928225,-43748,-2420
0.115551,19,38000,-4903450,120307,-2317
0.119676,-32,-64000,-4902925,-371858,-2607
0.123991,-56,-112000,-4902850,-689031,-2785
0.129055,10,20000,-4881425,43748,-2352
0.133302,30,60000,-4869050,360921,-2172
0.137537,19,38000,-4874850,229677,-2250
0.142173,0,0,-4854150,10937,-2365
0.146550,1,2000,-4822950,-65622,-2386
0.150741,-12,-24000,-4811700,-251551,-2484
0.155376,-32,-64000,-4819150,-295299,-2529
0.159636,-30,-60000,-4808650,-328110,-2537
0.163882,-52,-104000,-4787200,-634346,-2698
0.168100,-4,-8000,-4775450,-120307,-2394
0.172331,-4,-8000,-4775125,76559,-2298
0.176639,16,32000,-4756675,153118,-2232
0.181080,12,24000,-4753950,76559,-2272
0.185466,-9,-18000,-4756300,-109370,-2385
0.190197,28,56000,-4736175,196866,-2189
0.196798,56,112000,-4753625,732779,-1909
0.201062,-53,-106000,-4773450,-667157,-2708
0.205229,-61,-122000,-4775175,-743716,-2754
0.209493,-40,-80000,-4762225,-481228,-2599
0.213744,-65,-130000,-4761300,-645283,-2703
0.217999,-9,-18000,-4775175,-43748,-2362
0.222230,-38,-76000,-4780325,-360921,-2547
0.226500,-6,-12000,-4777775,-87496,-2381
0.230776,-37,-74000,-4792125,-273425,-2510
0.235039,-24,-48000,-4778850,-426543,-2565
0.239285,-34,-68000,-4768350,-459354,-2586
0.244022,-12,-24000,-4784475,-98433,-2396
0.248388,35,70000,-4780975,448417,-2081
0.252601,-48,-96000,-4781550,-503102,-2627
0.256883,-38,-76000,-4783875,-382795,-2560
0.261144,7,14000,-4784875,54685,-2303
0.265393,52,104000,-4779325,535913,-2021
0.269859,-12,-24000,-4770550,-273425,-2475
0.274256,78,156000,-4756225,842149,-1835
0.278544,-35,-70000,-4748225,-328110,-2513
0.283475,-53,-106000,-4749850,-623409,-2675
0.288089,-10,-20000,-4756825,0,-2332
0.292543,-4,-8000,-4750450,-153118,-2398
0.296950,-8,-16000,-4753300,-21874,-2339
0.302053,19,38000,-4755150,131244,-2239
0.306285,11,22000,-4749700,32811,-2292
0.311039,-10,-20000,-4748425,-131244,-2392
0.315645,-31,-62000,-4773000,-284362,-2500
0.320144,-97,-194000,-4774500,-1093700,-2960
