# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 25 350000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 21:40:54
# move_sent_at_s: 1.006488
# n_samples: 1839
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-547,-1094000,-836075,-546850,-1209
0.004280,-448,-896000,-2516025,-196866,-1762
0.008588,-374,-748000,-3863300,164055,-2172
0.012914,-185,-370000,-4820350,765590,-2161
0.017987,-205,-410000,-5572675,-54685,-2948
0.022249,-176,-352000,-6038275,-1082763,-3649
0.026481,12,24000,-6189725,448417,-2792
0.030642,-16,-32000,-6198000,-185929,-3133
0.034847,-69,-138000,-6165700,-951519,-3543
0.039037,11,22000,-6103650,-76559,-3007
0.043232,-25,-50000,-6043450,-590598,-3264
0.047369,18,36000,-5958575,-65622,-2924
0.051487,-33,-66000,-5896725,-535913,-3173
0.056009,32,64000,-5842800,207803,-2720
0.060285,-9,-18000,-5793700,-306236,-2987
0.064537,28,56000,-5761850,120307,-2727
0.068734,27,54000,-5741175,240614,-2659
0.072941,-14,-28000,-5698825,-328110,-2957
0.077220,55,110000,-5668350,415606,-2511
0.081502,77,154000,-5646025,787464,-2297
0.085780,10,20000,-5629275,43748,-2718
0.090000,-39,-78000,-5626425,-448417,-3004
0.094244,18,36000,-5605800,54685,-2693
0.098510,-34,-68000,-5597475,-404669,-2964
0.102734,52,104000,-5573325,568724,-2393
0.106996,-20,-40000,-5579900,-229677,-2856
0.111429,46,92000,-5603275,579661,-2408
0.115967,67,134000,-5595650,667157,-2341
0.120970,-20,-40000,-5593725,-229677,-2863
0.125234,1,2000,-5596500,43748,-2710
0.129469,-30,-60000,-5625500,-306236,-2926
0.133850,97,194000,-5626450,984330,-2172
0.138373,17,34000,-5623450,284362,-2590
0.144010,46,92000,-5633075,503102,-2460
0.149372,44,88000,-5627325,503102,-2459
0.154818,-3,-6000,-5626750,-109370,-2804
0.159358,-46,-92000,-5632550,-546850,-3062
0.163708,14,28000,-5629375,164055,-2655
0.167883,-42,-84000,-5628500,-426543,-2998
0.172075,8,16000,-5623950,87496,-2696
0.176457,25,50000,-5631600,207803,-2624
0.181124,-48,-96000,-5632900,-524976,-3054
0.185430,69,138000,-5616325,820275,-2274
0.189765,-37,-74000,-5616000,-339047,-2944
0.193958,-25,-50000,-5625000,-131244,-2835
0.198150,20,40000,-5623075,142181,-2657
0.202369,4,8000,-5641550,76559,-2713
0.206609,83,166000,-5647300,940582,-2217
0.210717,-38,-76000,-5629525,-459354,-3010
0.214859,0,0,-5621375,54685,-2718
0.219087,-35,-70000,-5619200,-349984,-2949
0.223387,17,34000,-5613275,174992,-2639
0.227586,-24,-48000,-5604750,-360921,-2936
0.231951,-5,-10000,-5589825,-98433,-2782
0.236446,-46,-92000,-5587550,-481228,-3008
0.240699,33,66000,-5583125,437480,-2480
0.244985,-7,-14000,-5567625,-153118,-2800
0.249471,-57,-114000,-5558075,-656220,-3090
0.253693,-12,-24000,-5579525,-109370,-2789
0.257927,20,40000,-5581675,284362,-2567
0.262166,-4,-8000,-5574775,-218740,-2833
0.266357,3,6000,-5559300,-120307,-2770
0.270668,-37,-74000,-5550000,-612472,-3045
0.274902,-26,-52000,-5567825,-273425,-2878
0.279175,23,46000,-5568375,295299,-2552
0.283391,-23,-46000,-5560250,-273425,-2871
0.287929,88,176000,-5569525,1028078,-2132
0.292182,-27,-54000,-5591325,-196866,-2853
0.296472,-54,-108000,-5594475,-535913,-3046
0.300707,-47,-94000,-5591975,-546850,-3043
0.304982,-21,-42000,-5633150,21874,-2760
0.309314,-92,-184000,-5642050,-1028078,-3347
0.313546,-4,-8000,-5638100,-120307,-2816
0.317806,39,78000,-5634200,393732,-2521
0.322045,29,58000,-5612975,207803,-2611
0.326326,-3,-6000,-5594050,-76559,-2772
0.330489,37,74000,-5583675,360921,-2514
0.334750,-7,-14000,-5592475,-76559,-2775
0.339085,70,140000,-5591725,798401,-2272
0.344920,-3,-6000,-5593900,-109370,-2788
0.349273,16,32000,-5569850,76559,-2667
0.353917,-6,-12000,-5549975,-142181,-2785
0.358154,-15,-30000,-5550500,-229677,-2837
0.362412,65,130000,-5543325,689031,-2307
0.366545,-1,-2000,-5563800,0,-2718
0.370689,51,102000,-5561525,557787,-2393
0.374869,-5,-10000,-5553900,-109370,-2770
0.379003,22,44000,-5571175,360921,-2523
0.383150,-35,-70000,-5557875,-514039,-2999
0.387340,42,84000,-5561050,481228,-2439
0.391443,-8,-16000,-5576125,-54685,-2757
0.395568,-8,-16000,-5587900,-32811,-2752
0.399723,32,64000,-5590850,251551,-2576
0.403895,21,42000,-5607050,295299,-2573
0.408215,-75,-150000,-5595925,-951519,-3270
0.412507,5,10000,-5596850,32811,-2712
0.416730,-33,-66000,-5609075,-328110,-2931
0.420988,-80,-160000,-5620125,-820275,-3223
0.425175,53,106000,-5587900,459354,-2452
0.429377,-32,-64000,-5579825,-448417,-2975
0.433568,2,4000,-5590075,10937,-2722
0.437832,74,148000,-5607925,984330,-2185
0.442036,44,88000,-5614625,514039,-2448
