# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 50 700000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 21:41:07
# move_sent_at_s: 1.004050
# n_samples: 1822
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-529,-1058000,-1108550,-3062500,-2553
0.004294,-375,-750000,-4227100,1050000,-1918
0.008521,-148,-296000,-6298350,2275000,-2109
0.012673,-47,-94000,-7307800,1268750,-2995
0.016876,5,10000,-7565450,503125,-3444
0.021093,-5,-10000,-7334750,-1312500,-4227
0.025227,24,48000,-7026900,-481250,-3643
0.029391,22,44000,-6776950,-65625,-3320
0.033575,12,24000,-6697650,21875,-3248
0.037758,0,0,-6551800,-481250,-3434
0.042880,-1,-2000,-6429350,-503125,-3386
0.047173,6,12000,-6371900,-87500,-3148
0.051438,12,24000,-6285500,43750,-3036
0.055810,4,8000,-6229550,0,-3038
0.060121,-6,-12000,-6199550,-284375,-3172
0.064385,25,50000,-6124550,459375,-2742
0.068777,27,54000,-6089900,590625,-2659
0.073075,-10,-20000,-6104300,-65625,-3022
0.077293,7,14000,-6162700,-240625,-3120
0.081761,52,104000,-6147300,984375,-2470
0.087958,5,10000,-6153200,65625,-2968
0.093184,-28,-56000,-6181950,-481250,-3281
0.098293,48,96000,-6175250,1312500,-2328
0.102692,-12,-24000,-6182350,-350000,-3201
0.107107,-45,-90000,-6183450,-875000,-3490
0.111480,31,62000,-6222350,721875,-2656
0.115811,73,146000,-6240400,1618750,-2185
0.120074,7,14000,-6249400,262500,-2916
0.124386,-27,-54000,-6279500,-459375,-3317
0.128734,29,58000,-6303750,875000,-2622
0.133127,-5,-10000,-6291200,43750,-3055
0.137586,-47,-94000,-6284700,-1159375,-3681
0.141881,-17,-34000,-6293250,-525000,-3346
0.146066,6,12000,-6302250,218750,-2965
0.150430,-3,-6000,-6283300,-109375,-3124
0.154850,-18,-36000,-6291100,-415625,-3292
0.159185,-7,-14000,-6297350,-175000,-3167
0.163670,24,48000,-6300150,612500,-2754
0.168583,-18,-36000,-6294250,-393750,-3283
0.173165,-55,-110000,-6304800,-1246875,-3741
0.177696,-2,-4000,-6287100,-131250,-3136
0.182187,-23,-46000,-6310000,-525000,-3360
0.186866,13,26000,-6298200,262500,-2934
0.191582,23,46000,-6319750,328125,-2903
0.196303,-9,-18000,-6348050,-175000,-3194
0.201647,2,4000,-6360700,-196875,-3200
0.206904,45,90000,-6310400,743750,-2674
0.211473,3,6000,-6265100,0,-3056
0.216216,25,50000,-6205650,306250,-2856
0.220978,-71,-142000,-6216400,-1728125,-3948
0.225687,50,100000,-6213000,1028125,-2483
0.230419,-49,-98000,-6236150,-787500,-3477
0.235210,-14,-28000,-6263600,-218750,-3179
0.239930,-33,-66000,-6304750,-350000,-3282
0.244713,18,36000,-6348900,503125,-2837
0.250911,-4,-8000,-6352150,-43750,-3127
0.256108,-38,-76000,-6328200,-1028125,-3629
0.260781,-24,-48000,-6318650,-612500,-3408
0.265333,6,12000,-6314400,65625,-3045
0.270144,-91,-182000,-6318300,-1990625,-4146
0.274811,-21,-42000,-6281600,-656250,-3408
0.279471,50,100000,-6276050,962500,-2546
0.287795,-51,-102000,-6281900,-1159375,-3683
0.293966,7,14000,-6253100,21875,-3036
0.298676,-19,-38000,-6224400,-700000,-3400
0.303180,-84,-168000,-6230100,-1946875,-4075
0.307691,-37,-74000,-6257650,-1093750,-3626
0.312073,18,36000,-6257450,350000,-2867
0.316630,12,24000,-6262600,525000,-2790
0.321276,41,82000,-6254050,940625,-2554
0.325643,-6,-12000,-6249000,-218750,-3164
0.330123,-3,-6000,-6298850,131250,-3014
0.334541,-47,-94000,-6300150,-1115625,-3667
0.338979,-70,-140000,-6315250,-1531250,-3900
0.343385,-4,-8000,-6305550,-262500,-3211
0.347732,-7,-14000,-6299250,-175000,-3168
0.352176,-61,-122000,-6292850,-1487500,-3859
0.356666,13,26000,-6294550,306250,-2911
0.361203,-98,-196000,-6276200,-2209375,-4239
0.365486,10,20000,-6258950,262500,-2918
0.369793,0,0,-6252100,21875,-3042
0.373994,13,26000,-6224850,175000,-2941
0.378233,17,34000,-6255050,503125,-2792
0.382490,-18,-36000,-6285000,-590625,-3375
0.386668,-39,-78000,-6309650,-546875,-3386
0.391067,-46,-92000,-6308600,-1137500,-3681
0.395466,-77,-154000,-6296550,-1706250,-3983
0.399721,62,124000,-6282600,1115625,-2462
0.404031,3,6000,-6281800,65625,-3032
0.408326,-10,-20000,-6244000,-437500,-3272
0.412693,10,20000,-6229400,240625,-2914
0.417206,14,28000,-6212450,175000,-2934
0.421516,32,64000,-6228850,678125,-2679
0.429390,-28,-56000,-6204350,-765625,-3431
0.437846,23,46000,-6257900,634375,-2723
0.442406,-50,-100000,-6295950,-984375,-3604
0.446851,38,76000,-6303600,896875,-2603
0.451202,71,142000,-6277150,1225000,-2398
0.455660,-49,-98000,-6264700,-1006250,-3598
0.459999,19,38000,-6278500,546875,-2780
0.464273,-21,-42000,-6328700,-65625,-3143
0.468534,26,52000,-6333750,371875,-2886
0.472808,49,98000,-6329450,940625,-2583
0.477134,-30,-60000,-6342350,-590625,-3415
0.481531,55,110000,-6299600,1181250,-2445
0.485806,41,82000,-6275350,721875,-2672
0.490091,-100,-200000,-6241200,-2340625,-4288
0.494454,-12,-24000,-6227500,-284375,-3191
0.498682,39,78000,-6211100,1050000,-2482
0.502885,12,24000,-6218600,175000,-2939
0.507019,-50,-100000,-6221150,-918750,-3535
0.511272,31,62000,-6241900,590625,-2729
0.515557,-20,-40000,-6278750,-218750,-3192
0.519800,-7,-14000,-6283850,21875,-3064
0.524056,-7,-14000,-6240000,-393750,-3246
0.528358,29,58000,-6251950,721875,-2672
0.532619,39,78000,-6222400,700000,-2658
0.536860,-25,-50000,-6235850,-459375,-3294
0.541040,-9,-18000,-6229600,-65625,-3083
0.545188,12,24000,-6239300,371875,-2853
0.549384,-26,-52000,-6246450,-503125,-3321
0.553518,-3,-6000,-6279600,-153125,-3144
0.557620,21,42000,-6296650,546875,-2787
0.561772,13,26000,-6279400,262500,-2925
0.565928,15,30000,-6300850,393750,-2870
0.570070,-17,-34000,-6277600,-371875,-3263
0.574300,35,70000,-6246900,743750,-2653
0.578491,32,64000,-6261500,590625,-2738
0.582672,-28,-56000,-6274550,-503125,-3337
0.586872,-38,-76000,-6246300,-787500,-3472
0.591143,23,46000,-6222200,481250,-2781
0.595329,40,80000,-6237550,962500,-2537
0.599441,2,4000,-6240150,153125,-2970
0.603755,18,36000,-6228450,196875,-2928
0.608302,3,6000,-6227900,-21875,-3049
0.612623,-21,-42000,-6240000,-525000,-3324
0.617745,-40,-80000,-6264100,-831250,-3504
0.622103,45,90000,-6282900,940625,-2565
0.626795,90,180000,-6291900,1903125,-2055
0.630996,-20,-40000,-6249650,-284375,-3210
0.635167,-6,-12000,-6225200,-131250,-3110
0.639422,33,66000,-6200800,459375,-2771
0.643745,-29,-58000,-6185650,-853125,-3465
0.647990,-16,-32000,-6165900,-437500,-3240
0.652323,-44,-88000,-6178900,-853125,-3477
0.656536,77,154000,-6177450,1684375,-2119
0.660704,16,32000,-6170350,415625,-2794
