# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 5.0
# set_pid: 
# move_rotations: 
# move_time_s: 
# move_delay_s: 
# capture_started: 2026-07-07 21:40:04
# move_sent_at_s: 
# n_samples: 1207
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-1057,-2114000,-90175,-3138632,-2609
0.004208,-983,-1966000,-834795,-415568,-1570
0.008470,-998,-1996000,-1501460,21872,-1697
0.012645,-1012,-2024000,-2168250,-169508,-2130
0.016850,-856,-1712000,-2756500,136700,-2115
0.020947,-870,-1740000,-3328605,-32808,-2491
0.025174,-863,-1726000,-3875850,-92956,-2781
0.029331,-674,-1348000,-4395040,355420,-2631
0.033447,-590,-1180000,-4813280,174976,-2841
0.037598,-599,-1198000,-5199390,-32808,-3140
0.041789,-577,-1154000,-5586405,98424,-3243
0.045950,-601,-1202000,-5972730,-109360,-3557
0.050042,-548,-1096000,-6318745,-306208,-3770
0.054261,-359,-718000,-6582210,71084,-3530
0.058499,-391,-782000,-6793690,-470248,-3929
0.062550,-344,-688000,-6994730,-202316,-3850
0.066631,-372,-744000,-7177315,-530396,-4127
0.070679,-230,-460000,-7351400,196848,-3718
0.074945,-282,-564000,-7522855,-109360,-4002
0.079154,-278,-556000,-7696155,-136700,-4096
0.083359,-242,-484000,-7859500,21872,-4063
0.087605,-200,-400000,-8007000,103892,-4054
0.091783,-194,-388000,-8141235,-43744,-4186
0.095950,-131,-262000,-8242315,-16404,-4161
0.100066,-93,-186000,-8307575,-65616,-4179
0.104244,-81,-162000,-8335705,-218720,-4256
0.108462,-76,-152000,-8350095,-317144,-4306
0.112666,-19,-38000,-8354715,-103892,-4149
0.116859,-13,-26000,-8353245,-114828,-4147
0.121130,-12,-24000,-8337615,-191380,-4176
0.125266,66,132000,-8316725,196848,-3900
0.129444,-10,-20000,-8301415,-164040,-4143
0.133558,71,142000,-8285595,262464,-3848
0.137630,41,82000,-8270360,109360,-3945
0.141732,8,16000,-8256155,-71084,-4058
0.145887,-58,-116000,-8245470,-437440,-4296
0.150187,64,128000,-8230205,180444,-3868
0.154263,17,34000,-8216950,-5468,-3998
0.158400,-55,-110000,-8206920,-426504,-4269
0.162507,-15,-30000,-8199175,-131232,-4082
0.166670,37,74000,-8190830,103892,-3913
0.170770,-56,-112000,-8179135,-421036,-4254
0.174932,23,46000,-8169805,38276,-3948
0.179079,84,168000,-8160080,404632,-3705
0.183231,36,72000,-8149735,120296,-3885
0.187345,-35,-70000,-8144195,-191380,-4104
0.191493,-14,-28000,-8135845,-147636,-4058
0.195649,11,22000,-8130250,71084,-3924
0.199803,13,26000,-8126405,32808,-3939
0.203941,-7,-14000,-8122000,-82020,-4013
0.208097,32,64000,-8115125,103892,-3880
0.212161,4,8000,-8111235,-21872,-3967
0.216301,20,40000,-8109195,54680,-3913
0.220581,-40,-80000,-8103495,-300740,-4143
0.224870,-2,-4000,-8100085,-27340,-3970
0.229045,44,88000,-8093310,174976,-3823
0.233098,24,48000,-8092630,142168,-3859
0.237079,-10,-20000,-8087835,-98424,-4007
0.241206,-53,-106000,-8085895,-328080,-4160
0.245277,15,30000,-8081545,-5468,-3934
0.249322,-28,-56000,-8075910,-164040,-4051
0.253441,40,80000,-8071525,213252,-3798
0.257698,40,80000,-8066330,207784,-3798
0.261884,-67,-134000,-8062860,-404632,-4200
0.265947,-10,-20000,-8059175,-43744,-3966
0.270007,-43,-86000,-8056205,-262464,-4104
0.274143,23,46000,-8057125,158572,-3834
0.278332,-9,-18000,-8052910,-103892,-3992
