# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 25 350000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 21:21:33
# move_sent_at_s: 1.005721
# n_samples: 1929
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-989,-1978000,-516450,-5381004,-3845
0.004161,-760,-1520000,-3152875,-732779,-2639
0.008298,-536,-1072000,-5236475,601535,-2787
0.012390,-366,-732000,-6721575,360921,-3463
0.016490,-99,-198000,-7560675,995267,-3302
0.020498,-110,-220000,-8034725,185929,-3940
0.024689,-72,-144000,-8292125,-164055,-4199
0.028911,-64,-128000,-8368450,-678094,-4480
0.033065,65,130000,-8342750,557787,-3738
0.037110,8,16000,-8283000,-109370,-4090
0.041284,8,16000,-8193475,-240614,-4110
0.045426,48,96000,-8099775,240614,-3791
0.049570,49,98000,-8048300,371858,-3700
0.053679,-7,-14000,-7987925,-415606,-4110
0.057788,10,20000,-7911125,-174992,-3939
0.061864,-20,-40000,-7860425,-382795,-4045
0.065872,-1,-2000,-7797850,-207803,-3910
0.070021,30,60000,-7742950,109370,-3698
0.074180,-26,-52000,-7703800,-393732,-3979
0.078355,54,108000,-7649000,415606,-3479
0.082466,26,52000,-7607700,120307,-3631
0.086468,23,46000,-7582575,196866,-3584
0.090563,34,68000,-7527475,218740,-3536
0.094651,44,88000,-7481675,273425,-3477
0.098669,-55,-110000,-7450650,-765590,-4066
0.102716,-55,-110000,-7426375,-678094,-4011
0.106915,21,42000,-7399175,153118,-3518
0.111130,-47,-94000,-7362800,-612472,-3940
0.115241,-18,-36000,-7334075,-262488,-3727
0.119422,-57,-114000,-7315025,-710905,-3975
0.123670,15,30000,-7287275,109370,-3490
0.127822,-13,-26000,-7253875,-218740,-3661
0.131905,-45,-90000,-7240600,-557787,-3852
0.136016,-29,-58000,-7218500,-415606,-3756
0.140184,4,8000,-7196275,0,-3510
0.144379,-33,-66000,-7199625,-306236,-3697
0.148516,3,6000,-7167200,-131244,-3561
0.152586,79,158000,-7133250,776527,-3027
0.156812,-4,-8000,-7109950,-87496,-3518
0.161008,-5,-10000,-7127500,10937,-3480
0.165096,5,10000,-7124350,54685,-3447
0.169152,-19,-38000,-7115125,-349984,-3664
0.173300,0,0,-7107875,-21874,-3481
0.177489,7,14000,-7090075,43748,-3434
0.181713,14,28000,-7074575,76559,-3403
0.186100,8,16000,-7063450,43748,-3420
0.190288,-41,-82000,-7051750,-503102,-3729
0.194320,-84,-168000,-7044725,-864023,-3944
0.198563,55,110000,-7050225,678094,-3058
0.202679,-20,-40000,-7076850,-43748,-3496
0.206758,-3,-6000,-7078625,0,-3459
0.210921,31,62000,-7065350,207803,-3318
0.215135,1,2000,-7067575,-32811,-3466
0.219248,-59,-118000,-7053575,-623409,-3806
0.223396,49,98000,-7049625,535913,-3133
0.227570,-26,-52000,-7028975,-328110,-3618
0.231663,-37,-74000,-7011925,-514039,-3711
0.235818,-73,-146000,-7007975,-798401,-3883
0.239932,-12,-24000,-7013975,-142181,-3506
0.244185,-35,-70000,-7016750,-426543,-3669
0.248401,31,62000,-7012550,262488,-3266
0.252504,7,14000,-7005075,109370,-3360
0.256563,11,22000,-7022275,218740,-3311
0.260737,1,2000,-7024225,21874,-3418
0.264835,-32,-64000,-7001850,-481228,-3685
0.268826,-55,-110000,-7003575,-579661,-3756
0.272884,-27,-54000,-6989350,-382795,-3626
0.277090,-15,-30000,-6972300,-120307,-3478
0.281248,19,38000,-6975500,164055,-3307
0.285392,-7,-14000,-6989225,-76559,-3457
0.289661,47,94000,-6972650,481228,-3124
0.293752,-8,-16000,-6963850,-120307,-3467
0.297889,6,12000,-6976400,153118,-3326
0.302092,-34,-68000,-6985925,-360921,-3621
0.306241,-49,-98000,-7007250,-470291,-3699
0.310387,-13,-26000,-7029625,-109370,-3499
0.314489,29,58000,-7027150,262488,-3275
0.318548,45,90000,-7036450,514039,-3141
0.322588,-2,-4000,-7016175,-153118,-3503
0.326759,-55,-110000,-7030425,-546850,-3754
0.330878,75,150000,-7037725,831212,-2957
0.334990,-1,-2000,-7012075,-43748,-3446
0.339076,7,14000,-7016100,98433,-3371
0.343213,-8,-16000,-7005550,-54685,-3455
0.347194,-46,-92000,-7011400,-524976,-3725
