# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 8.0
# set_pid: 2000 25 350000
# move_rotations: 2.0
# move_time_s: 2.0
# move_delay_s: 1.0
# capture_started: 2026-07-07 21:21:59
# move_sent_at_s: 1.007457
# n_samples: 1918
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-924,-1848000,-417000,-4888839,-3493
0.004154,-733,-1466000,-2980500,-842149,-2582
0.008374,-460,-920000,-4990100,1039015,-2378
0.012629,-271,-542000,-6440100,1224944,-2811
0.016738,-201,-402000,-7349225,10937,-3779
0.020834,-29,-58000,-7767800,984330,-3341
0.024907,-16,-32000,-8047075,623409,-3640
0.029254,-49,-98000,-8144400,-349984,-4195
0.033400,-64,-128000,-8130775,-820275,-4433
0.037597,-9,-18000,-8085300,-382795,-4144
0.041764,39,78000,-8046225,317173,-3736
0.045965,49,98000,-7995000,295299,-3712
0.050081,-24,-48000,-7924100,-492165,-4133
0.054173,-41,-82000,-7868500,-579661,-4165
0.058339,-25,-50000,-7815300,-481228,-4075
0.062488,62,124000,-7757775,371858,-3546
0.066644,73,146000,-7705025,590598,-3403
0.070889,-25,-50000,-7665950,-459354,-3992
0.075082,4,8000,-7627675,-32811,-3737
0.079229,38,76000,-7578375,218740,-3556
0.083278,3,6000,-7544350,0,-3681
0.087364,-24,-48000,-7502425,-393732,-3879
0.091472,14,28000,-7466700,10937,-3627
0.095669,-4,-8000,-7447350,-54685,-3667
0.099751,-52,-104000,-7426225,-667157,-4003
0.103913,7,14000,-7401950,10937,-3602
0.108014,3,6000,-7356175,-207803,-3690
0.112193,87,174000,-7314225,853086,-3070
0.116374,-13,-26000,-7281975,-273425,-3702
0.120518,10,20000,-7264625,32811,-3521
0.124612,3,6000,-7229300,-109370,-3580
0.128735,24,48000,-7199175,164055,-3412
0.132881,-59,-118000,-7187850,-612472,-3866
0.137073,3,6000,-7187075,10937,-3501
0.141141,-3,-6000,-7153700,-207803,-3597
0.145287,-38,-76000,-7133175,-448417,-3739
0.149535,-35,-70000,-7100675,-503102,-3747
0.153769,29,58000,-7076375,284362,-3288
0.157890,5,10000,-7081875,54685,-3426
0.162080,33,66000,-7077425,339047,-3258
0.166218,6,12000,-7044400,-21874,-3444
0.170420,31,62000,-7051550,317173,-3258
0.174522,4,8000,-7037100,21874,-3421
0.178646,43,86000,-7029850,514039,-3140
0.182750,-28,-56000,-7027625,-273425,-3592
0.186909,33,66000,-7012850,349984,-3221
0.191023,73,146000,-7000600,678094,-3016
0.195175,-16,-32000,-6975125,-295299,-3566
0.199319,-41,-82000,-6956975,-503102,-3683
0.203373,-16,-32000,-6966300,-164055,-3497
0.207450,2,4000,-6957900,10937,-3390
0.211629,26,52000,-6945650,218740,-3259
0.215745,-20,-40000,-6949350,-229677,-3525
0.219899,22,44000,-6953225,240614,-3256
0.223999,-29,-58000,-6954475,-349984,-3595
0.228082,43,86000,-6969525,535913,-3099
0.232111,46,92000,-6968575,546850,-3091
0.236257,-24,-48000,-6959950,-273425,-3555
0.240391,-7,-14000,-6963600,-109370,-3460
0.244529,52,104000,-6975200,557787,-3083
0.248597,51,102000,-6978200,514039,-3107
0.252763,21,42000,-6989625,295299,-3248
0.256918,56,112000,-6986350,579661,-3074
0.261084,29,58000,-6990400,306236,-3235
0.265138,5,10000,-6991700,10937,-3404
0.269199,-1,-2000,-6977975,-131244,-3472
0.273313,41,82000,-6997350,535913,-3115
0.277554,10,20000,-6997550,76559,-3370
0.281743,6,12000,-6994775,0,-3410
