# pid_debug_capture v1
# port: /dev/tty.usbserial-210
# alias: X
# duration_s: 5.0
# set_pid: 
# move_rotations: 
# move_time_s: 
# move_delay_s: 
# capture_started: 2026-07-07 21:21:10
# move_sent_at_s: 
# n_samples: 1182
# timeouts: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-442,-884000,118320,-2575428,-1631
0.004303,-495,-990000,-356310,32808,-641
0.008467,-568,-1136000,-729850,-109360,-964
0.012682,-552,-1104000,-1079870,-76552,-1104
0.016885,-504,-1008000,-1433755,136700,-1126
0.021081,-524,-1048000,-1786675,54680,-1357
0.025242,-575,-1150000,-2135900,-262464,-1733
0.029470,-413,-826000,-2454255,273400,-1468
0.033639,-442,-884000,-2739865,-125764,-1831
0.037816,-388,-776000,-3013400,164040,-1770
0.042027,-407,-814000,-3288235,32808,-1987
0.046204,-436,-872000,-3551980,-218720,-2267
0.050510,-367,-734000,-3814310,185912,-2130
0.054692,-397,-794000,-4081655,-43744,-2402
0.058870,-323,-646000,-4318180,71084,-2389
0.063048,-226,-452000,-4500985,120296,-2360
0.067245,-202,-404000,-4644145,-10936,-2470
0.071387,-191,-382000,-4779060,65616,-2488
0.075525,-199,-398000,-4904575,-43744,-2611
0.079702,-137,-274000,-5026735,229656,-2476
0.083872,-201,-402000,-5144245,-109360,-2762
0.088017,-160,-320000,-5258475,49212,-2700
0.092163,-213,-426000,-5370050,-207784,-2932
0.096338,-190,-380000,-5481955,-147636,-2934
0.100458,-112,-224000,-5591960,284336,-2701
0.104618,-134,-268000,-5699715,131232,-2850
0.108748,-161,-322000,-5803275,5468,-2988
0.112904,-205,-410000,-5900485,-333548,-3244
0.117158,-135,-270000,-6001195,87488,-3019
0.121278,-171,-342000,-6095210,-202316,-3242
0.125402,-179,-358000,-6180125,-295272,-3337
0.129641,-72,-144000,-6254910,196848,-3028
0.133854,-96,-192000,-6318515,-38276,-3198
0.138081,-105,-210000,-6368960,-213252,-3317
0.142256,-46,-92000,-6403970,-16404,-3180
0.146536,48,96000,-6415775,306208,-2936
0.150715,-31,-62000,-6416035,-191380,-3257
0.154885,31,62000,-6415030,185912,-3011
0.159064,-7,-14000,-6413575,-16404,-3146
0.163316,82,164000,-6408115,437440,-2835
0.167650,0,0,-6400490,-65616,-3157
0.171855,-23,-46000,-6396170,-229656,-3258
0.176091,35,70000,-6390010,136700,-3019
0.180366,17,34000,-6383040,21872,-3089
0.184629,-10,-20000,-6375320,-120296,-3181
0.188830,-7,-14000,-6365840,-120296,-3174
0.193063,-47,-94000,-6362375,-300740,-3299
0.197242,-56,-112000,-6356440,-349952,-3329
0.201465,-37,-74000,-6350355,-289804,-3278
0.205702,-27,-54000,-6349350,-125764,-3188
0.209885,4,8000,-6345325,-16404,-3102
0.214079,-53,-106000,-6340430,-349952,-3319
0.218343,73,146000,-6337460,421036,-2818
0.222680,-40,-80000,-6332155,-300740,-3278
0.227008,13,26000,-6332335,82020,-3039
0.231340,-18,-36000,-6327890,-147636,-3179
0.235580,2,4000,-6328105,5468,-3085
0.239893,26,52000,-6324385,131232,-2999
0.244105,-60,-120000,-6320325,-410100,-3345
0.248427,2,4000,-6316530,-21872,-3093
0.252611,-35,-70000,-6315270,-213252,-3222
0.256775,-33,-66000,-6315340,-158572,-3193
0.260990,-24,-48000,-6315035,-174976,-3192
0.265400,3,6000,-6313810,-10936,-3085
0.269609,-9,-18000,-6313225,-21872,-3102
0.273916,-49,-98000,-6313775,-295272,-3275
0.278157,28,56000,-6312010,109360,-3001
0.282441,38,76000,-6311445,235124,-2930
0.286767,-15,-30000,-6311980,-98424,-3145
0.291077,-12,-24000,-6311865,-16404,-3102
0.295396,-6,-12000,-6311260,-43744,-3109
0.299681,28,56000,-6311765,136700,-2988
0.303966,7,14000,-6311250,21872,-3064
0.308187,0,0,-6309005,5468,-3078
0.312362,-20,-40000,-6307050,-98424,-3147
0.316596,-12,-24000,-6305500,-98424,-3139
0.320915,8,16000,-6305100,21872,-3060
0.325102,-5,-10000,-6304950,-5468,-3086
0.329282,26,52000,-6303555,120296,-2994
0.333580,0,0,-6304355,21872,-3068
0.337860,15,30000,-6301755,49212,-3038
0.342161,-50,-100000,-6302150,-262464,-3254
0.346516,-5,-10000,-6299990,-82020,-3121
0.350833,-35,-70000,-6301750,-153104,-3186
0.355150,9,18000,-6299760,16404,-3059
0.359398,-22,-44000,-6299270,-103892,-3148
0.363693,-38,-76000,-6297715,-229656,-3224
0.368013,-11,-22000,-6296790,-54680,-3112
0.372362,-15,-30000,-6296010,-92956,-3134
0.376665,11,22000,-6296650,43744,-3042
0.380985,-7,-14000,-6296200,-65616,-3113
0.385259,4,8000,-6294230,10936,-3064
0.389499,-10,-20000,-6293185,-71084,-3117
0.393744,21,42000,-6293140,153104,-2978
0.397954,5,10000,-6291805,-10936,-3073
0.402091,49,98000,-6291225,251528,-2901
0.406411,-11,-22000,-6292900,-60148,-3113
0.410610,25,50000,-6292555,136700,-2981
0.414888,46,92000,-6295495,273400,-2896
0.419243,-13,-26000,-6289570,-131232,-3148
0.423453,23,46000,-6289120,120296,-2990
0.427648,23,46000,-6291570,114828,-2994
0.431870,1,2000,-6291565,10936,-3066
