# pid_algorithm_sim v1
# alg: old
# set_pid: 2000 25 175000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 4
# move_sent_at_s: 1.000000
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.000000,18,36000,450,98424,65,0,-18,0
0.000128,21,42000,2300,92956,67,0,-21,0
0.000256,-43,-86000,500,-262464,-170,0,43,1
0.000384,-29,-58000,-275,-185912,-120,0,29,1
0.000512,-29,-58000,-1100,-180444,-117,0,29,1
0.000640,15,30000,1300,43744,36,0,-15,0
0.000768,5,10000,-400,-10936,-1,0,-5,1
0.000896,29,58000,1750,103892,79,0,-29,0
0.001024,74,148000,4000,339016,239,0,-74,0
0.001152,8,16000,5250,-43744,-11,0,-8,1
0.001280,24,48000,5325,49212,50,0,-24,0
0.001408,6,12000,5825,-54680,-18,0,-6,1
0.001536,2,4000,6775,-82020,-35,0,-2,1
0.001664,20,40000,6525,21872,33,0,-20,0
0.001792,20,40000,6450,16404,30,0,-20,0
0.001920,-19,-38000,8225,-213252,-119,0,19,1
0.002048,24,48000,8975,32808,43,0,-24,0
0.002176,-70,-140000,5925,-475716,-298,0,70,2
0.002304,11,22000,5325,-16404,5,0,-11,0
0.002432,-27,-54000,5275,-229656,-136,0,27,1
0.002560,-30,-60000,4125,-240592,-145,0,30,1
0.002688,-47,-94000,2150,-322612,-203,0,47,1
0.002816,45,90000,2400,191380,138,0,-45,0
0.002944,-17,-34000,2325,-158572,-93,0,17,1
0.003072,44,88000,3750,169508,127,0,-44,0
0.003200,28,56000,3475,76552,66,0,-28,0
0.003328,-4,-8000,2475,-98424,-51,0,4,1
0.003456,-28,-56000,-300,-213252,-132,0,28,1
0.003584,29,58000,1925,92956,74,0,-29,0
0.003712,12,24000,3025,-10936,7,0,-12,0
0.003840,39,78000,3700,142168,109,0,-39,0
0.003968,50,100000,1975,213252,153,0,-50,0
0.004096,26,52000,1650,76552,63,0,-26,0
0.004224,-10,-20000,3400,-142168,-78,0,10,1
0.004352,30,60000,3050,82020,70,0,-30,0
0.004480,20,40000,3475,27340,34,0,-20,0
0.004608,13,26000,4425,-16404,6,0,-13,0
0.004736,-24,-48000,2900,-213252,-127,0,24,1
0.004864,-8,-16000,1825,-114828,-63,0,8,1
0.004992,-39,-78000,-550,-278868,-175,0,39,1
0.005120,20,40000,1725,32808,36,0,-20,0
0.005248,-17,-34000,900,-174976,-102,0,17,1
0.005376,14,28000,75,5468,16,0,-14,0
0.005504,38,76000,1350,125764,99,0,-38,0
0.005632,-34,-68000,1500,-278868,-169,0,34,1
0.005760,13,26000,4750,-32808,-2,0,-13,1
0.005888,-9,-18000,3300,-142168,-77,0,9,1
0.006016,41,82000,5100,125764,103,0,-41,0
0.006144,-13,-26000,4250,-169508,-94,0,13,1
0.006272,-32,-64000,4950,-278868,-165,0,32,1
0.006400,-38,-76000,4375,-306208,-185,0,38,1
0.006528,32,64000,4150,87488,75,0,-32,0
0.006656,15,30000,3150,0,16,0,-15,0
0.006784,-48,-96000,3950,-355420,-219,0,48,1
0.006912,-3,-6000,4075,-98424,-49,0,3,1
0.007040,-2,-4000,4575,-98424,-48,0,2,1
0.007168,36,72000,7550,98424,86,0,-36,0
0.007296,15,30000,6575,-16404,9,0,-15,0
0.007424,34,68000,10050,71084,72,0,-34,0
0.007552,41,82000,10075,114828,101,0,-41,0
