# pid_algorithm_sim v1
# alg: step2
# set_pid: 2000 25 175000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 4
# move_sent_at_s: 1.000000
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.000000,18,36000,450,98424,66,0,-18,0
0.000128,21,42000,2300,98424,70,0,-21,0
0.000256,-43,-86000,500,-240592,-159,0,43,1
0.000384,-29,-58000,-275,-158572,-106,0,29,1
0.000512,-29,-58000,-1100,-153104,-104,0,29,1
0.000640,15,30000,1300,76552,53,0,-15,0
0.000768,5,10000,-400,38276,23,0,-5,0
0.000896,29,58000,1750,153104,104,0,-29,0
0.001024,74,148000,4000,388228,264,0,-74,1
0.001152,8,16000,5250,5468,13,0,-8,0
0.001280,24,48000,5325,98424,74,0,-24,0
0.001408,6,12000,5825,-10936,3,0,-6,0
0.001536,2,4000,6775,-27340,-8,0,-2,1
0.001664,20,40000,6525,87488,65,0,-20,0
0.001792,20,40000,6450,87488,65,0,-20,0
0.001920,-19,-38000,8225,-147636,-87,0,19,1
0.002048,24,48000,8975,98424,76,0,-24,0
0.002176,-70,-140000,5925,-399164,-260,0,70,2
0.002304,11,22000,5325,71084,48,0,-11,0
0.002432,-27,-54000,5275,-153104,-99,0,27,1
0.002560,-30,-60000,4125,-158572,-105,0,30,1
0.002688,-47,-94000,2150,-246060,-165,0,47,1
0.002816,45,90000,2400,267932,176,0,-45,0
0.002944,-17,-34000,2325,-87488,-58,0,17,1
0.003072,44,88000,3750,246060,165,0,-44,0
0.003200,28,56000,3475,158572,106,0,-28,0
0.003328,-4,-8000,2475,-10936,-8,0,4,1
0.003456,-28,-56000,-300,-114828,-84,0,28,1
0.003584,29,58000,1925,185912,120,0,-29,0
0.003712,12,24000,3025,82020,53,0,-12,0
0.003840,39,78000,3700,224188,149,0,-39,0
0.003968,50,100000,1975,306208,199,0,-50,0
0.004096,26,52000,1650,169508,109,0,-26,0
0.004224,-10,-20000,3400,-49212,-32,0,10,1
0.004352,30,60000,3050,185912,122,0,-30,0
0.004480,20,40000,3475,120296,80,0,-20,0
0.004608,13,26000,4425,76552,52,0,-13,0
0.004736,-24,-48000,2900,-125764,-83,0,24,1
0.004864,-8,-16000,1825,-21872,-18,0,8,1
0.004992,-39,-78000,-550,-174976,-124,0,39,1
0.005120,20,40000,1725,136700,87,0,-20,0
0.005248,-17,-34000,900,-65616,-48,0,17,1
0.005376,14,28000,75,114828,70,0,-14,0
0.005504,38,76000,1350,235124,153,0,-38,0
0.005632,-34,-68000,1500,-180444,-121,0,34,1
0.005760,13,26000,4750,60148,44,0,-13,0
0.005888,-9,-18000,3300,-54680,-34,0,9,1
0.006016,41,82000,5100,224188,152,0,-41,0
0.006144,-13,-26000,4250,-76552,-48,0,13,1
0.006272,-32,-64000,4950,-191380,-122,0,32,1
0.006400,-38,-76000,4375,-218720,-142,0,38,1
0.006528,32,64000,4150,174976,119,0,-32,0
0.006656,15,30000,3150,87488,59,0,-15,0
0.006784,-48,-96000,3950,-278868,-181,0,48,1
0.006912,-3,-6000,4075,-21872,-12,0,3,1
0.007040,-2,-4000,4575,-16404,-8,0,2,1
0.007168,36,72000,7550,174976,124,0,-36,0
0.007296,15,30000,6575,76552,55,0,-15,0
0.007424,34,68000,10050,153104,113,0,-34,0
0.007552,41,82000,10075,196848,141,0,-41,0
0.007680,-24,-48000,8275,-164040,-99,0,24,1
0.007808,73,146000,9825,377292,260,0,-73,1
0.007936,-12,-24000,9700,-103892,-58,0,12,1
0.008064,17,34000,9375,71084,56,0,-17,0
0.008192,-8,-16000,8175,-60148,-33,0,8,1
0.008320,43,86000,9400,224188,156,0,-43,0
0.008448,17,34000,9375,82020,61,0,-17,0
0.008576,19,38000,8325,103892,73,0,-19,0
0.008704,-18,-36000,7025,-92956,-60,0,18,1
0.008832,36,72000,7825,202316,138,0,-36,0
0.008960,22,44000,9375,103892,77,0,-22,0
0.009088,59,118000,8425,328080,222,0,-59,0
0.009216,-31,-62000,10550,-196848,-121,0,31,1
0.009344,41,82000,9050,235124,159,0,-41,0
0.009472,-63,-126000,6050,-333548,-221,0,63,1
0.009600,41,82000,5575,256996,168,0,-41,0
0.009728,9,18000,6850,60148,42,0,-9,0
0.009856,-30,-60000,8300,-180444,-113,0,30,1
0.009984,-13,-26000,8750,-87488,-51,0,13,1
0.010112,19,38000,10050,87488,66,0,-19,0
0.010240,27,54000,11325,120296,91,0,-27,0
0.010368,-3,-6000,12100,-54680,-24,0,3,1
0.010496,-46,-92000,11500,-289804,-181,0,46,1
0.010624,31,62000,10650,153104,110,0,-31,0
0.010752,-22,-44000,9050,-120296,-76,0,22,1
0.010880,-11,-22000,9375,-54680,-33,0,11,1
0.011008,-6,-12000,9500,-27340,-15,0,6,1
0.011136,1,2000,9075,21872,16,0,-1,0
0.011264,77,154000,9975,431972,291,0,-77,1
0.011392,7,14000,10450,32808,28,0,-7,0
0.011520,-15,-30000,7575,-71084,-46,0,15,1
0.011648,-21,-42000,7575,-103892,-68,0,21,1
0.011776,-9,-18000,5250,-16404,-14,0,9,1
0.011904,58,116000,7575,344484,229,0,-58,0
0.012032,-6,-12000,6325,0,-3,0,6,1
0.012160,-1,-2000,5600,32808,18,0,1,0
0.012288,-24,-48000,6975,-114828,-76,0,24,1
0.012416,16,32000,7325,103892,70,0,-16,0
