# overshoot study v1
# set_pid: 2000 0 350000
# burst: 15.0 rev/s for 0.04 s, sent at t=1.0142, stop at t=1.0542
# fatal_error: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-423,-846000,0,142181,-344
0.004164,-406,-812000,0,218740,-290
0.008272,-495,-990000,0,-710905,-831
0.012388,-358,-716000,0,765590,24
0.016438,-452,-904000,0,-273425,-575
0.020593,-384,-768000,0,426543,-167
0.024734,-410,-820000,0,218740,-294
0.028854,-412,-824000,0,174992,-317
0.032986,-409,-818000,0,207803,-298
0.037206,-482,-964000,0,-634346,-780
0.041348,-401,-802000,0,284362,-253
0.045521,-469,-938000,0,-415606,-661
0.049582,-408,-816000,0,481228,-163
0.053753,-446,-892000,0,-98433,-484
0.057800,-404,-808000,0,459354,-170
0.061906,-411,-822000,0,273425,-268
0.065949,-375,-750000,0,612472,-67
0.070112,-445,-890000,0,-153118,-509
0.074269,-373,-746000,0,743716,-1
0.078421,-357,-714000,0,853086,68
0.082526,-402,-804000,0,273425,-259
0.086646,-456,-912000,0,-174992,-531
0.090785,-383,-766000,0,579661,-91
0.094913,-466,-932000,0,-328110,-615
0.099002,-505,-1010000,0,-907771,-936
0.103146,-410,-820000,0,185929,-310
0.107237,-436,-872000,0,-65622,-458
0.111355,-443,-886000,0,-120307,-491
0.115444,-471,-942000,0,-426543,-668
0.119642,-420,-840000,0,109370,-357
0.123731,-474,-948000,0,-470291,-693
0.127878,-476,-952000,0,-514039,-716
0.131980,-409,-818000,0,262488,-271
0.136241,-411,-822000,0,207803,-300
0.140402,-438,-876000,0,-164055,-508
0.144487,-402,-804000,0,218740,-286
0.148802,-436,-872000,0,-32811,-442
0.153085,-379,-758000,0,524976,-114
0.157279,-408,-816000,0,76559,-361
0.161473,-449,-898000,0,-153118,-513
0.170560,-372,-744000,0,689031,-27
0.174813,-434,-868000,0,-21874,-435
0.178933,-350,-700000,0,940582,117
0.182983,-410,-820000,0,404669,-203
0.187121,-434,-868000,0,-21874,-435
0.191199,-477,-954000,0,-448417,-685
0.195321,-417,-834000,0,196866,-311
0.204762,-469,-938000,0,-371858,-640
0.208970,-454,-908000,0,-207803,-545
0.213043,-404,-808000,0,229677,-282
0.217148,-453,-906000,0,-174992,-528
0.221290,-420,-840000,0,109370,-357
0.225471,-435,-870000,0,-153118,-500
0.229645,-482,-964000,0,-645283,-786
0.233788,-421,-842000,0,10937,-406
0.238001,-386,-772000,0,371858,-195
0.242201,-385,-770000,0,535913,-114
0.246370,-410,-820000,0,262488,-272
0.250531,-464,-928000,0,-437480,-667
0.254714,-508,-1016000,0,-874960,-923
0.259355,-479,-958000,0,-448417,-687
0.263657,-419,-838000,0,174992,-324
0.267843,-450,-900000,0,-251551,-562
0.271976,-379,-758000,0,492165,-130
0.276151,-398,-796000,0,262488,-261
0.280331,-444,-888000,0,-240614,-551
0.284485,-441,-882000,0,-120307,-489
0.288709,-427,-854000,0,0,-417
0.293607,-403,-806000,0,262488,-265
0.297925,-415,-830000,0,185929,-314
0.302590,-441,-882000,0,-131244,-495
0.306805,-409,-818000,0,164055,-319
0.310968,-399,-798000,0,328110,-229
0.315073,-438,-876000,0,-196866,-524
0.319177,-455,-910000,0,-317173,-599
0.323226,-431,-862000,0,-120307,-480
0.327329,-451,-902000,0,-404669,-638
0.331494,-408,-816000,0,273425,-265
0.335749,-441,-882000,0,-98433,-479
0.339821,-469,-938000,0,-339047,-624
0.343988,-428,-856000,0,120307,-359
0.348120,-468,-936000,0,-568724,-735
0.352325,-507,-1014000,0,-864023,-917
0.356453,-425,-850000,0,43748,-394
0.360639,-412,-824000,0,240614,-285
0.364805,-430,-860000,0,0,-420
0.368980,-451,-902000,0,-98433,-488
0.373095,-424,-848000,0,87496,-371
0.377183,-432,-864000,0,109370,-368
0.381483,-498,-996000,0,-743716,-849
0.385697,-420,-840000,0,87496,-367
0.389909,-415,-830000,0,109370,-352
0.394248,-407,-814000,0,196866,-301
0.399283,-435,-870000,0,-164055,-505
0.403513,-437,-874000,0,-109370,-480
0.407626,-435,-870000,0,120307,-366
0.411841,-436,-872000,0,-76559,-463
0.415992,-433,-866000,0,-120307,-482
0.420734,-469,-938000,0,-437480,-672
0.425044,-435,-870000,0,-43748,-446
0.429322,-402,-804000,0,207803,-291
0.436632,-366,-732000,0,601535,-64
0.440818,-471,-942000,0,-404669,-658
0.444956,-416,-832000,0,339047,-241
0.449020,-345,-690000,0,874960,90
0.453140,-422,-844000,0,65622,-380
0.457318,-419,-838000,0,164055,-329
0.461472,-393,-786000,0,481228,-149
0.465608,-319,-638000,0,1224944,287
0.469746,-424,-848000,0,65622,-382
0.473836,-446,-892000,0,-120307,-494
0.477999,-368,-736000,0,579661,-76
0.482128,-425,-850000,0,98433,-367
0.502879,-425,-850000,0,-76559,-452
0.507366,-476,-952000,0,-535913,-727
0.511507,-446,-892000,0,-65622,-468
0.515697,-385,-770000,0,579661,-93
0.519879,-393,-786000,0,415606,-181
0.523971,-461,-922000,0,-339047,-616
0.528078,-424,-848000,0,-54685,-441
0.532254,-445,-890000,0,-164055,-515
0.536470,-427,-854000,0,32811,-401
0.540616,-479,-958000,0,-612472,-767
0.544734,-480,-960000,0,-612472,-768
0.549009,-414,-828000,0,76559,-367
0.553287,-407,-814000,0,295299,-253
0.557548,-402,-804000,0,207803,-291
0.561987,-398,-796000,0,240614,-271
0.570470,-460,-920000,0,-295299,-593
0.574771,-466,-932000,0,-437480,-669
0.578950,-433,-866000,0,-65622,-455
0.583123,-390,-780000,0,568724,-103
0.587288,-382,-764000,0,448417,-154
