# overshoot study v1
# set_pid: 2000 25 1400000
# burst: 15.0 rev/s for 0.04 s, sent at t=1.0138, stop at t=1.0538
# fatal_error: 0
t_s,error,p_term,i_term,d_term,output
0.000000,13,26000,2168175,1575000,1840
0.004092,-35,-70000,2169950,-1837500,128
0.008204,32,64000,2156075,568750,1362
0.012335,60,120000,2188000,3981250,3071
0.016564,51,102000,2081175,-525000,810
0.020698,-30,-60000,2143850,481250,1252
0.024951,3,6000,2129750,1400000,1726
0.029175,22,44000,2129250,1400000,1745
0.033303,2,4000,2128225,1618750,1832
0.037315,14,28000,2158700,-175000,982
0.041401,36,72000,2138350,1968750,2041
0.045521,58,116000,2186125,831250,1530
0.049695,-35,-70000,2212375,-4156250,-983
0.053831,11,22000,2287325,3281250,2730
0.058017,37,74000,2238025,1837500,2026
0.062060,-46,-92000,2226000,1181250,1619
0.066126,-89,-178000,2181375,-2887500,-432
0.070231,57,114000,2132300,4112500,3105
0.074250,-24,-48000,2165225,1093750,1568
0.078324,86,172000,2059225,4506250,3290
0.082548,22,44000,1950775,1181250,1551
0.086629,3,6000,1975925,1487500,1694
0.090733,-77,-154000,1917300,612500,1160
0.094763,58,116000,1928850,3193750,2558
0.098820,21,42000,1963125,175000,1065
0.102876,75,150000,2030525,-700000,723
0.106964,-37,-74000,2067375,612500,1272
0.111137,-68,-136000,2068825,-2362500,-210
0.115300,-22,-44000,2060825,-831250,579
0.119567,57,114000,2100000,568750,1359
0.123781,77,154000,2086375,3018750,2568
0.127897,98,196000,2155075,-1181250,571
0.132152,36,72000,2275000,568750,1424
0.136272,16,32000,2306225,131250,1206
0.140390,-37,-74000,2267450,2231250,2160
0.144421,-90,-180000,2155650,-1968750,3
0.148548,-86,-172000,2136950,-2143750,-87
0.152713,-88,-176000,2159625,-2581250,-292
0.156950,59,118000,2156625,-1268750,491
0.161107,63,126000,2172450,2318750,2254
0.165234,-53,-106000,2170550,-568750,730
0.169380,-27,-54000,2152775,-4287500,-1069
0.173398,-31,-62000,2231325,-525000,803
0.177418,-30,-60000,2211000,1662500,1862
0.181507,-44,-88000,2210450,1093750,1570
0.185643,-15,-30000,2196650,-568750,780
0.189839,-1,-2000,2245600,350000,1266
0.193964,-69,-138000,2279550,-4200000,-1005
0.198005,19,38000,2357025,-3937500,-753
0.202116,14,28000,2403675,4025000,3153
0.206203,16,32000,2398950,175000,1272
0.210228,110,220000,2428850,875000,1721
0.214410,37,74000,2496950,3762500,3093
0.218478,30,60000,2502375,-4200000,-800
0.222552,-17,-34000,2463725,6475000,4348
0.226576,127,254000,2251825,-1400000,540
0.230666,-22,-44000,2366000,0,1134
0.234692,59,118000,2448125,2406250,2428
0.238881,38,76000,2534100,-568750,997
0.242933,14,28000,2573025,-1750000,416
0.246984,2,4000,2577150,962500,1730
0.251151,59,118000,2376400,3762500,3055
0.255314,55,110000,2321325,1487500,1913
0.259475,10,20000,2343325,-131250,1090
0.263555,45,90000,2369075,1137500,1756
0.267685,-88,-176000,2460675,-3368750,-529
0.271907,-35,-70000,2437200,-437500,942
0.276013,29,58000,2460850,2100000,2255
0.280175,89,178000,2417125,4025000,3232
0.284324,-64,-128000,2383050,-787500,717
0.288520,75,150000,2335575,4375000,3350
0.292625,-50,-100000,2290925,-131250,1006
0.296714,-8,-16000,2310700,-262500,992
0.300871,-25,-50000,2368725,-1750000,278
0.305020,-56,-112000,2350850,-2318750,-39
0.309092,33,66000,2290450,3675000,2945
0.313197,-16,-32000,2328875,43750,1143
0.317323,46,92000,2359675,3237500,2778
0.321502,-66,-132000,2362300,-3193750,-470
0.325737,72,144000,2385900,2712500,2560
0.329806,5,10000,2401275,-1356250,515
0.333932,41,82000,2396925,43750,1232
0.338088,-63,-126000,2460650,-1050000,627
0.342206,65,130000,2503425,2056250,2290
0.346326,-35,-70000,2423000,-1531250,401
0.350506,76,152000,2461775,2056250,2280
0.354582,-77,-154000,2510900,-2581250,-110
0.358629,16,32000,2509000,2275000,2352
0.362673,-55,-110000,2436400,-2712500,-189
0.366870,-26,-52000,2455100,-1312500,533
0.371024,-19,-38000,2385475,-743750,783
0.375103,-127,-254000,2303450,-2843750,-388
0.379143,-64,-128000,2326350,-3018750,-401
0.383254,-82,-164000,2334550,-3018750,-414
0.387331,-5,-10000,2327475,1050000,1644
0.391466,39,78000,2303900,1750000,2018
0.395533,84,168000,2326850,1225000,1816
0.399719,-67,-134000,2340200,-1312500,436
0.403875,77,154000,2357025,2931250,2657
0.407944,-63,-126000,2364900,-2625000,-189
0.411988,-44,-88000,2405850,-1181250,555
0.416065,46,92000,2440650,-1881250,318
0.420154,1,2000,2464900,962500,1675
0.424201,58,116000,2484625,1662500,2082
0.428212,-38,-76000,2501300,393750,1376
0.432310,-51,-102000,2367625,306250,1256
0.436543,-153,-306000,2342275,-5250000,-1569
0.440676,-24,-48000,2266125,787500,1468
0.444684,-91,-182000,2131800,-525000,696
0.448790,-29,-58000,2122075,-962500,538
0.452882,1,2000,2092300,1531250,1770
0.457044,-27,-54000,1971725,-743750,573
0.461148,-62,-124000,2071225,-2668750,-352
0.465164,59,118000,2132675,2362500,2253
0.469260,32,64000,2090725,-262500,924
0.473402,-9,-18000,2091650,1137500,1568
0.477474,-60,-120000,2054125,-262500,816
0.481607,-27,-54000,2019150,2581250,2220
0.485728,-49,-98000,1948650,-393750,711
0.489806,-30,-60000,1928925,-1618750,122
0.493907,-2,-4000,1957975,-3106250,-563
0.497946,-14,-28000,1987100,918750,1405
0.501991,-2,-4000,2042900,3018750,2470
0.506133,-55,-110000,1947725,-743750,534
0.510237,-78,-156000,1962450,612500,1181
0.514359,38,76000,1948525,2318750,2121
0.518456,39,78000,1964575,1312500,1638
0.522516,-18,-36000,1967175,-3631250,-830
0.526633,67,134000,2091250,1006250,1578
0.530719,-18,-36000,2134000,743750,1388
0.534819,50,100000,2201600,962500,1594
0.538965,-12,-24000,2194525,1618750,1850
0.543107,35,70000,2244900,393750,1323
0.547210,60,120000,2298975,175000,1267
0.551333,81,162000,2372275,1137500,1793
0.555471,22,44000,2319350,1925000,2094
0.559656,44,88000,2322625,350000,1348
0.563772,-14,-28000,2288950,1050000,1617
0.567824,17,34000,2339500,568750,1437
0.572086,25,50000,2352075,1487500,1899
0.576318,51,102000,2277425,1487500,1888
0.580523,53,106000,2335525,1181250,1769
0.584587,-11,-22000,2308750,-875000,689
0.588645,-7,-14000,2256100,1443750,1800
0.592718,-81,-162000,2261750,1793750,1901
0.596844,8,16000,2154300,437500,1273
0.600877,-54,-108000,2163175,-1487500,277
0.605011,-42,-84000,2027200,-3325000,-675
0.609095,-65,-130000,2039525,-568750,655
0.613143,-80,-160000,2053225,-5293750,-1660
0.617328,-16,-32000,2051000,-1006250,495
0.621485,-22,-44000,2094450,-1618750,211
0.625502,-11,-22000,2092100,2668750,2314
0.629623,15,30000,2048300,481250,1250
0.633769,74,148000,2033900,1137500,1621
0.637916,-39,-78000,2050200,-2406250,-212
0.642045,-19,-38000,2077675,-525000,740
0.646061,-2,-4000,2101175,-1006250,533
0.650083,51,102000,2131300,2318750,2223
0.654218,59,118000,1984475,5075000,3505
0.658279,49,98000,2073250,-437500,847
0.662296,44,88000,2208425,2800000,2488
0.666382,-11,-22000,2196225,1706250,1895
0.670602,63,126000,2032375,5425000,3703
0.674698,63,126000,1783525,5118750,3432
0.678810,146,292000,1773150,4681250,3294
0.683008,45,90000,1810875,2318750,2060
0.687182,42,84000,1810425,1487500,1651
0.691291,-9,-18000,1833200,-743750,523
0.695326,-1,-2000,1809050,2450000,2079
0.699422,-26,-52000,1772000,-743750,477
0.713786,-26,-52000,1864625,-1268750,266
0.717909,57,114000,2099400,-525000,824
0.722009,100,200000,2199750,2625000,2453
0.726222,-40,-80000,2217800,-4200000,-1007
0.730408,-51,-102000,2238125,-393750,851
0.734585,66,132000,2254150,525000,1421
0.738736,-13,-26000,2321775,-1706250,288
0.742820,8,16000,2346900,-1487500,427
