# overshoot study v1
# set_pid: 2000 100 350000
# burst: 15.0 rev/s for 0.04 s, sent at t=1.0139, stop at t=1.0539
# fatal_error: 0
t_s,error,p_term,i_term,d_term,output
0.000001,-26,-52000,8858900,-284362,4161
0.004071,3,6000,8967900,-87496,4339
0.008217,43,86000,8946500,492165,4651
0.012335,23,46000,8874800,185929,4447
0.016400,38,76000,8979700,284362,4561
0.020442,8,16000,8867100,284362,4476
0.024552,82,164000,8953400,754653,4820
0.028656,7,14000,8901600,131244,4417
0.032707,8,16000,8789300,349984,4470
0.036811,23,46000,8754100,437480,4511
0.040957,-25,-50000,8864500,-164055,4224
0.045211,-26,-52000,8818700,0,4281
0.049194,3,6000,8878900,54685,4365
0.053255,25,50000,8928800,251551,4507
0.057272,-39,-78000,8859600,-382795,4101
0.061300,65,130000,8827900,634346,4684
0.065341,-11,-22000,8900000,-251551,4212
0.069427,32,64000,8839100,328110,4507
0.073543,11,22000,8947000,-65622,4347
0.077646,47,94000,9043900,174992,4547
0.081708,-15,-30000,8971300,-87496,4323
0.085768,22,44000,8915300,196866,4471
0.089795,11,22000,8941300,-43748,4355
0.093895,-22,-44000,8922200,-317173,4180
0.098004,43,86000,8989500,284362,4570
0.102057,-26,-52000,8910100,-142181,4256
0.106144,-22,-44000,8863100,-153118,4231
0.110335,4,8000,8923200,0,4361
0.114580,2,4000,8978300,-131244,4322
0.118766,8,16000,9030900,54685,4444
0.122890,-43,-86000,8826100,-262488,4139
0.126995,8,16000,8828400,174992,4404
0.131117,54,108000,8889500,524976,4650
0.135217,-80,-160000,8913600,-864023,3852
0.139337,4,8000,9008000,-76559,4365
0.143537,-68,-136000,8908800,-590598,3995
0.147633,-5,-10000,8882800,-54685,4306
0.151744,-18,-36000,8908700,-185929,4242
0.155850,48,96000,8859500,448417,4592
0.159939,43,86000,8913200,371858,4576
0.164052,-5,-10000,8884100,76559,4370
0.168156,-29,-58000,8831400,-98433,4236
0.172218,33,66000,8791900,470291,4555
0.176373,15,30000,8821400,153118,4397
0.180463,33,66000,8974100,295299,4558
0.184547,18,36000,8971300,174992,4484
0.188625,5,10000,8891700,10937,4352
0.192743,33,66000,8959500,448417,4626
0.196885,-8,-16000,8953000,-10937,4358
0.201012,-50,-100000,8936500,-601535,4021
0.205180,-12,-24000,8888900,32811,4345
0.209373,16,32000,8768000,382795,4484
0.213498,89,178000,8890900,962456,4898
0.217562,-78,-156000,8860500,-678094,3919
0.221741,-15,-30000,8872200,-120307,4259
0.225887,-7,-14000,8903000,-54685,4314
0.230036,-7,-14000,8893600,-120307,4277
0.234040,-10,-20000,8835300,87496,4347
0.238150,-62,-124000,8822500,-634346,3938
0.242296,10,20000,8846100,-98433,4281
0.246374,55,110000,8943700,524976,4677
0.250502,41,82000,8926500,317173,4554
0.254597,15,30000,8952000,54685,4412
0.258704,43,86000,8897200,415606,4589
0.262884,24,48000,8963200,-21874,4389
0.267054,-43,-86000,8953200,-743716,3967
0.271175,-66,-132000,8829900,-612472,3948
0.275315,5,10000,8875700,109370,4392
0.279357,-60,-120000,8942700,-557787,4036
0.283410,72,144000,8967900,798401,4839
0.287477,47,94000,8896900,535913,4652
0.291551,-20,-40000,8890300,-360921,4145
0.295734,19,38000,8951000,-54685,4362
0.299865,7,14000,8952400,-54685,4351
0.303952,-58,-116000,8955700,-798401,3926
0.308181,-34,-68000,8944700,-568724,4057
0.312326,-63,-126000,8937500,-699968,3961
0.316431,-4,-8000,8872200,131244,4392
0.320650,10,20000,8930800,185929,4461
0.324773,56,112000,8827900,787464,4750
0.328813,-63,-126000,8846000,-568724,3980
0.332884,47,94000,8885100,590598,4673
0.336965,39,78000,8884300,448417,4595
0.341215,-9,-18000,8843300,10937,4315
0.345396,0,0,8860000,-65622,4294
0.349443,62,124000,8884000,634346,4708
0.353752,31,62000,8943500,153118,4472
0.357893,38,76000,8919000,612472,4691
0.362006,-28,-56000,8914600,-371858,4144
0.366062,38,76000,8837500,514039,4603
0.370212,-33,-66000,8817200,-349984,4102
0.374352,51,102000,8855800,579661,4657
0.378501,37,74000,8931400,437480,4611
0.382576,30,60000,8898200,328110,4534
0.386677,38,76000,8887900,557787,4649
0.390802,18,36000,8889600,164055,4438
0.394938,7,14000,8919600,-10937,4357
0.399112,37,74000,8906100,426543,4593
0.403139,-37,-74000,8877000,-317173,4143
0.407241,14,28000,8870100,295299,4489
0.411365,-8,-16000,8825900,21874,4312
0.415435,-11,-22000,8881200,-185929,4235
0.419624,48,96000,8914400,393732,4592
0.423687,-17,-34000,8877100,10937,4323
0.427810,-12,-24000,8762500,174992,4352
0.431848,16,32000,8866200,306236,4494
0.435942,44,88000,8900400,459354,4613
0.440117,58,116000,8900500,601535,4696
0.444283,43,86000,8866400,262488,4499
0.448323,20,40000,8890200,185929,4451
0.452538,39,78000,8944900,218740,4513
0.456608,-88,-176000,8931200,-1028078,3773
0.460681,24,48000,8956400,131244,4461
0.464716,18,36000,8932600,207803,4481
0.468777,-121,-242000,8923400,-1268692,3619
0.472881,-23,-46000,8775800,43748,4284
0.477030,-31,-62000,8860100,-262488,4168
0.481166,4,8000,8857200,185929,4419
0.485246,40,80000,8844300,557787,4630
0.489508,76,152000,8861000,842149,4812
0.493600,48,96000,8860800,284362,4512
0.497700,-7,-14000,8880700,-306236,4180
0.501946,17,34000,8967400,-87496,4352
0.506178,30,60000,8971700,382795,4597
0.510290,19,38000,8838900,470291,4564
0.514287,47,94000,8776200,721842,4684
0.518318,-8,-16000,8838100,-21874,4297
0.522429,-2,-4000,8837800,218740,4420
0.526480,-4,-8000,8858100,43748,4343
0.530503,-11,-22000,8910700,-153118,4265
0.534472,-57,-114000,8966000,-678094,3991
0.538488,-19,-38000,8940900,-43748,4326
0.542731,9,18000,8870600,229677,4452
0.546814,-34,-68000,8841100,-218740,4177
0.550904,-35,-70000,8747300,-76559,4200
0.555016,-8,-16000,8757000,54685,4295
0.560689,-27,-54000,8879200,-207803,4208
0.564810,5,10000,8941100,10937,4376
0.568943,-73,-146000,8908300,-678094,3947
0.573075,8,16000,8876400,218740,4449
0.577180,28,56000,8864500,382795,4543
0.581264,55,110000,8860700,699968,4722
0.585491,52,104000,8959400,371858,4607
0.589673,-10,-20000,8954500,-109370,4309
0.593811,-52,-104000,8886400,-371858,4107
0.597910,-19,-38000,8818300,-54685,4261
0.601958,-1,-2000,8924700,-196866,4261
0.606161,34,68000,8866400,481228,4597
0.610329,-6,-12000,8919600,43748,4371
0.614576,-24,-48000,8834300,0,4290
0.619195,100,200000,8917700,885897,4885
0.628474,-38,-76000,8917100,-459354,4093
0.632660,-7,-14000,8807100,98433,4342
0.636746,-13,-26000,8858300,-43748,4291
0.641036,68,136000,8847600,798401,4776
0.645129,34,68000,8881200,251551,4493
0.649240,-17,-34000,8888100,-306236,4174
0.653815,-28,-56000,8975700,-360921,4179
0.658036,-42,-84000,8892100,-382795,4114
0.662145,44,88000,8814000,557787,4619
0.666236,-9,-18000,8872400,-87496,4281
0.670356,-36,-72000,8888900,-240614,4188
0.674496,78,156000,8869600,842149,4818
