# overshoot study v1
# set_pid: 4000 25 350000
# burst: 15.0 rev/s for 0.04 s, sent at t=1.0122, stop at t=1.0522
# fatal_error: 0
t_s,error,p_term,i_term,d_term,output
0.000000,-13,-52000,7735325,-153118,3677
0.004212,13,52000,7733700,32811,3818
0.008387,7,28000,7752050,54685,3826
0.012611,-27,-108000,7769400,-273425,3607
0.016799,9,36000,7748725,382795,3988
0.020999,23,92000,7748025,196866,3924
0.025077,-12,-48000,7765300,-284362,3629
0.029249,-20,-80000,7782375,-339047,3595
0.033364,-104,-416000,7770000,-951519,3126
0.037418,9,36000,7771650,218740,3919
0.041419,-12,-48000,7781800,-109370,3723
0.045550,-19,-76000,7776875,-120307,3701
0.049666,-43,-172000,7767500,-360921,3533
0.053852,-55,-220000,7781250,-601535,3398
0.057984,-16,-64000,7783500,-164055,3689
0.062163,9,36000,7775675,174992,3900
0.066359,46,184000,7780125,404669,4086
0.070464,-39,-156000,7800750,-612472,3434
0.074538,27,108000,7803975,306236,4013
0.078619,3,12000,7781375,185929,3896
0.082836,-56,-224000,7790475,-721842,3342
0.087017,-43,-172000,7780400,-306236,3566
0.091146,-3,-12000,7781050,21874,3804
0.095417,42,168000,7757525,579661,4153
0.099601,-41,-164000,7775975,-459354,3492
0.103795,23,92000,7794575,218740,3958
0.107951,18,72000,7791700,153118,3914
0.112110,-51,-204000,7811875,-667157,3389
0.116253,-15,-60000,7790200,-21874,3764
0.120522,32,128000,7769625,459354,4081
0.124628,-74,-296000,7763000,-765590,3272
0.128732,-25,-100000,7774450,-251551,3624
0.132877,10,40000,7773700,142181,3885
0.136956,-43,-172000,7768300,-371858,3528
0.141067,43,172000,7783150,273425,4018
0.145172,75,300000,7787275,776527,4328
0.149440,3,12000,7780950,87496,3848
0.153581,38,152000,7752425,568724,4137
0.157708,93,372000,7759775,1148385,4531
0.161871,-4,-16000,7765200,10937,3789
0.165953,11,44000,7761900,98433,3860
0.170141,23,92000,7745025,306236,3976
0.174273,11,44000,7756150,98433,3857
0.178331,21,84000,7751500,349984,3997
0.182480,-27,-108000,7731950,-164055,3643
0.186548,-52,-208000,7731525,-590598,3385
0.190605,17,68000,7731225,218740,3915
0.194666,19,76000,7729500,371858,3993
0.198739,-32,-128000,7701050,-65622,3666
0.202830,-18,-72000,7716075,-87496,3690
0.206888,-47,-188000,7726525,-503102,3435
0.211094,69,276000,7747575,601535,4211
