# pid_algorithm_sim v1
# alg: step2
# set_pid: 2000 25 350000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 1
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.000000,25,50000,625,273425,158,0,-25,0
0.000256,0,0,3650,-76559,-36,0,0,1
0.000512,-52,-104000,4600,-678094,-380,0,52,2
0.000768,-33,-66000,1275,-382795,-219,0,33,1
0.001024,1,2000,1025,10937,7,0,-1,0
0.001280,-1,-2000,-2000,32811,14,0,1,0
0.001536,-3,-6000,-2350,-10937,-9,0,3,1
0.001792,57,114000,-1375,645283,370,0,-57,1
0.002048,-1,-2000,1825,-65622,-32,0,1,1
0.002304,47,94000,225,524976,302,0,-47,1
0.002560,-52,-104000,2700,-623409,-354,0,52,2
0.002816,-41,-82000,1475,-481228,-274,0,41,2
0.003072,41,82000,1650,459354,265,0,-41,1
0.003328,17,34000,2200,196866,114,0,-17,0
0.003584,-2,-4000,1500,0,-1,0,2,1
0.003840,15,30000,175,218740,122,0,-15,0
0.004096,-14,-28000,175,-153118,-88,0,14,1
0.004352,-70,-140000,-3675,-721842,-423,0,70,2
0.004608,36,72000,-2800,448417,253,0,-36,0
0.004864,-14,-28000,-6150,-65622,-49,0,14,1
0.005120,16,32000,-5225,240614,131,0,-16,0
0.005376,8,16000,-5500,131244,69,0,-8,0
0.005632,-13,-26000,-5300,-131244,-79,0,13,1
0.005888,6,12000,-3400,54685,31,0,-6,0
0.006144,26,52000,-2775,284362,163,0,-26,0
0.006400,11,22000,-4175,142181,78,0,-11,0
0.006656,24,48000,-2200,251551,145,0,-24,0
0.006912,-11,-22000,-2500,-153118,-87,0,11,1
0.007168,33,66000,-250,306236,182,0,-33,0
0.007424,49,98000,3900,437480,263,0,-49,1
0.007680,44,88000,4400,404669,243,0,-44,0
0.007936,32,64000,8550,207803,137,0,-32,0
0.008192,-35,-70000,4625,-437480,-246,0,35,1
0.008448,25,50000,3550,284362,165,0,-25,0
0.008704,17,34000,3200,207803,120,0,-17,0
0.008960,2,4000,925,54685,29,0,-2,0
0.009216,-1,-2000,3400,-32811,-15,0,1,1
0.009472,-69,-138000,1425,-754653,-435,0,69,2
0.009728,-4,-8000,1250,-21874,-14,0,4,1
0.009984,27,54000,5150,251551,152,0,-27,0
0.010240,32,64000,6700,273425,168,0,-32,0
0.010496,3,6000,5325,10937,11,0,-3,0
0.010752,-52,-104000,3050,-568724,-327,0,52,2
0.011008,84,168000,8475,896834,524,0,-84,2
0.011264,43,86000,5425,492165,285,0,-43,1
0.011520,44,88000,1225,590598,332,0,-44,1
0.011776,18,36000,-1725,317173,172,0,-18,0
0.012032,26,52000,-2150,393732,217,0,-26,0
0.012288,6,12000,-1650,131244,69,0,-6,0
0.012544,23,46000,1300,229677,135,0,-23,0
0.012800,-35,-70000,-1225,-382795,-222,0,35,1
0.013056,-47,-94000,-4975,-448417,-267,0,47,2
0.013312,-51,-102000,-3300,-546850,-318,0,51,2
0.013568,-41,-82000,-2525,-459354,-266,0,41,2
0.013824,25,50000,-2100,317173,178,0,-25,0
0.014080,-35,-70000,-8075,-295299,-182,0,35,1
0.014336,-13,-26000,-6975,-109370,-70,0,13,1
0.014592,-38,-76000,-10350,-360921,-218,0,38,1
0.014848,-2,-4000,-7350,0,-6,0,2,1
0.015104,-35,-70000,-9775,-360921,-215,0,35,1
0.015360,14,28000,-12300,218740,114,0,-14,0
0.015616,-5,-10000,-9425,-43748,-31,0,5,1
0.015872,-7,-14000,-12050,-32811,-29,0,7,1
0.016128,-70,-140000,-11900,-754653,-443,0,70,2
0.016384,39,78000,-13575,503102,277,0,-39,1
0.016640,40,80000,-11925,459354,258,0,-40,1
0.016896,28,56000,-10025,284362,161,0,-28,0
0.017152,-49,-98000,-12950,-524976,-311,0,49,2
