# pid_algorithm_sim v1
# alg: old
# set_pid: 2000 25 350000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 1
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.000000,25,50000,625,273425,158,0,-25,0
0.000256,0,0,3650,-98433,-47,0,0,1
0.000512,-52,-104000,4600,-710905,-396,0,52,2
0.000768,-33,-66000,1275,-459354,-256,0,33,1
0.001024,1,2000,1025,-87496,-42,0,-1,1
0.001280,-1,-2000,-2000,-87496,-45,0,1,1
0.001536,-3,-6000,-2350,-109370,-58,0,3,1
0.001792,57,114000,-1375,557787,327,0,-57,1
0.002048,-1,-2000,1825,-142181,-70,0,1,1
0.002304,47,94000,225,415606,248,0,-47,0
0.002560,-52,-104000,2700,-743716,-413,0,52,2
0.002816,-41,-82000,1475,-590598,-328,0,41,2
0.003072,41,82000,1650,317173,195,0,-41,0
0.003328,17,34000,2200,32811,33,0,-17,0
0.003584,-2,-4000,1500,-174992,-87,0,2,1
0.003840,15,30000,175,21874,25,0,-15,0
0.004096,-14,-28000,175,-306236,-164,0,14,1
0.004352,-70,-140000,-3675,-896834,-509,0,70,2
0.004608,36,72000,-2800,262488,161,0,-36,0
0.004864,-14,-28000,-6150,-262488,-145,0,14,1
0.005120,16,32000,-5225,43748,34,0,-16,0
0.005376,8,16000,-5500,-54685,-22,0,-8,1
0.005632,-13,-26000,-5300,-295299,-160,0,13,1
0.005888,6,12000,-3400,-120307,-55,0,-6,1
0.006144,26,52000,-2775,87496,66,0,-26,0
0.006400,11,22000,-4175,-65622,-24,0,-11,1
0.006656,24,48000,-2200,43748,43,0,-24,0
0.006912,-11,-22000,-2500,-339047,-178,0,11,1
0.007168,33,66000,-250,142181,101,0,-33,0
0.007424,49,98000,3900,273425,183,0,-49,0
0.007680,44,88000,4400,240614,162,0,-44,0
0.007936,32,64000,8550,76559,72,0,-32,0
0.008192,-35,-70000,4625,-612472,-331,0,35,2
0.008448,25,50000,3550,76559,63,0,-25,0
0.008704,17,34000,3200,0,18,0,-17,0
0.008960,2,4000,925,-131244,-62,0,-2,1
0.009216,-1,-2000,3400,-196866,-96,0,1,1
0.009472,-69,-138000,1425,-929645,-521,0,69,3
0.009728,-4,-8000,1250,-196866,-100,0,4,1
0.009984,27,54000,5150,98433,76,0,-27,0
0.010240,32,64000,6700,153118,109,0,-32,0
0.010496,3,6000,5325,-153118,-70,0,-3,1
0.010752,-52,-104000,3050,-743716,-413,0,52,2
0.011008,84,168000,8475,721842,438,0,-84,1
0.011264,43,86000,5425,306236,194,0,-43,0
0.011520,44,88000,1225,349984,214,0,-44,0
0.011776,18,36000,-1725,87496,59,0,-18,0
0.012032,26,52000,-2150,174992,109,0,-26,0
0.012288,6,12000,-1650,-76559,-33,0,-6,1
0.012544,23,46000,1300,87496,65,0,-23,0
0.012800,-35,-70000,-1225,-535913,-297,0,35,2
0.013056,-47,-94000,-4975,-634346,-359,0,47,2
0.013312,-51,-102000,-3300,-721842,-404,0,51,2
0.013568,-41,-82000,-2525,-612472,-341,0,41,2
0.013824,25,50000,-2100,120307,82,0,-25,0
0.014080,-35,-70000,-8075,-470291,-268,0,35,2
0.014336,-13,-26000,-6975,-240614,-134,0,13,1
0.014592,-38,-76000,-10350,-481228,-278,0,38,2
0.014848,-2,-4000,-7350,-142181,-75,0,2,1
0.015104,-35,-70000,-9775,-481228,-274,0,35,2
0.015360,14,28000,-12300,87496,50,0,-14,0
0.015616,-5,-10000,-9425,-196866,-106,0,5,1
0.015872,-7,-14000,-12050,-196866,-109,0,7,1
0.016128,-70,-140000,-11900,-918708,-523,0,70,3
0.016384,39,78000,-13575,339047,197,0,-39,0
0.016640,40,80000,-11925,317173,188,0,-40,0
0.016896,28,56000,-10025,153118,97,0,-28,0
0.017152,-49,-98000,-12950,-689031,-391,0,49,2
0.017408,-55,-110000,-15975,-732779,-420,0,55,2
0.017664,-31,-62000,-14750,-481228,-273,0,31,2
0.017920,-24,-48000,-13125,-426543,-239,0,24,1
0.018176,-7,-14000,-14225,-218740,-121,0,7,1
0.018432,-14,-28000,-12975,-317173,-175,0,14,1
0.018688,-4,-8000,-18050,-153118,-88,0,4,1
0.018944,-2,-4000,-16975,-164055,-91,0,2,1
0.019200,-10,-20000,-16025,-262488,-146,0,10,1
0.019456,44,88000,-16775,349984,205,0,-44,0
0.019712,-71,-142000,-20375,-907771,-523,0,71,3
0.019968,28,56000,-16500,142181,88,0,-28,0
0.020224,9,18000,-17900,-54685,-27,0,-9,1
0.020480,-81,-162000,-16200,-1093700,-622,0,81,3
0.020736,2,4000,-13875,-174992,-91,0,-2,1
0.020992,35,70000,-15950,240614,143,0,-35,0
0.021248,2,4000,-14200,-153118,-80,0,-2,1
0.021504,-1,-2000,-15825,-164055,-89,0,1,1
0.021760,35,70000,-12875,207803,129,0,-35,0
0.022016,-7,-14000,-14700,-240614,-132,0,7,1
0.022272,-18,-36000,-13575,-382795,-212,0,18,1
0.022528,-34,-68000,-16925,-514039,-293,0,34,2
0.022784,-39,-78000,-15050,-612472,-345,0,39,2
0.023040,25,50000,-16550,120307,75,0,-25,0
0.023296,49,98000,-18500,393732,231,0,-49,0
0.023552,-5,-10000,-17975,-229677,-126,0,5,1
0.023808,31,62000,-17375,174992,107,0,-31,0
0.024064,15,30000,-22775,65622,35,0,-15,0
0.024320,26,52000,-22400,174992,99,0,-26,0
0.024576,-9,-18000,-21600,-240614,-137,0,9,1
0.024832,-7,-14000,-20650,-229677,-130,0,7,1
0.025088,45,90000,-20950,349984,204,0,-45,0
0.025344,-13,-26000,-19500,-339047,-188,0,13,1
0.025600,24,48000,-21150,98433,61,0,-24,0
0.025856,64,128000,-14725,470291,284,0,-64,1
0.026112,-35,-70000,-13475,-656220,-362,0,35,2
0.026368,-12,-24000,-14800,-360921,-196,0,12,1
0.026624,49,98000,-11525,295299,186,0,-49,0
0.026880,52,104000,-14575,393732,235,0,-52,0
0.027136,-58,-116000,-15825,-831212,-471,0,58,2
0.027392,82,164000,-14850,732779,430,0,-82,1
0.027648,-26,-52000,-18325,-448417,-254,0,26,1
0.027904,16,32000,-16225,0,7,0,-16,0
0.028160,-23,-46000,-16800,-437480,-245,0,23,1
0.028416,-6,-12000,-19925,-196866,-112,0,6,1
0.028672,-13,-26000,-21175,-273425,-157,0,13,1
0.028928,-35,-70000,-20350,-535913,-306,0,35,2
0.029184,44,88000,-18725,339047,199,0,-44,0
0.029440,-18,-36000,-15825,-393732,-218,0,18,1
0.029696,-85,-170000,-16300,-1126511,-642,0,85,3
0.029952,25,50000,-18025,131244,79,0,-25,0
0.030208,53,106000,-19525,459354,266,0,-53,1
0.030464,39,78000,-15525,240614,147,0,-39,0
0.030720,-59,-118000,-17550,-831212,-473,0,59,2
0.030976,24,48000,-17500,98433,62,0,-24,0
0.031232,-41,-82000,-18400,-612472,-349,0,41,2
0.031488,29,58000,-20550,185929,109,0,-29,0
0.031744,-15,-30000,-21075,-306236,-175,0,15,1
0.032000,33,66000,-21700,229677,133,0,-33,0
0.032256,-49,-98000,-22375,-689031,-396,0,49,2
0.032512,-39,-78000,-25050,-557787,-323,0,39,2
0.032768,-45,-90000,-29400,-579661,-342,0,45,2
0.033024,-43,-86000,-27050,-601535,-349,0,43,2
0.033280,-9,-18000,-27275,-218740,-129,0,9,1
0.033536,30,60000,-28400,218740,122,0,-30,0
0.033792,-47,-94000,-28000,-656220,-380,0,47,2
0.034048,-22,-44000,-27775,-393732,-228,0,22,1
0.034304,-6,-12000,-29725,-185929,-112,0,6,1
0.034560,-64,-128000,-28175,-874960,-504,0,64,2
0.034816,12,24000,-27075,-32811,-18,0,-12,1
0.035072,-29,-58000,-23650,-524976,-297,0,29,2
0.035328,-26,-52000,-19375,-524976,-292,0,26,2
0.035584,26,52000,-16150,43748,38,0,-26,0
0.035840,25,50000,-16075,43748,37,0,-25,0
0.036096,-41,-82000,-18900,-656220,-370,0,41,2
0.036352,-24,-48000,-17550,-470291,-262,0,24,2
0.036608,-13,-26000,-18775,-317173,-177,0,13,1
0.036864,-7,-14000,-19175,-240614,-134,0,7,1
0.037120,-34,-68000,-20125,-535913,-305,0,34,2
0.037376,-20,-40000,-19350,-404669,-227,0,20,1
0.037632,-64,-128000,-18200,-907771,-515,0,64,3
0.037888,-37,-74000,-21875,-557787,-320,0,37,2
0.038144,-19,-38000,-23200,-339047,-196,0,19,1
0.038400,11,22000,-25150,10937,3,0,-11,0
0.038656,-1,-2000,-22725,-174992,-98,0,1,1
0.038912,32,64000,-21525,174992,106,0,-32,0
0.039168,-32,-64000,-16375,-612472,-339,0,32,2
0.039424,26,52000,-16825,54685,43,0,-26,0
0.039680,-2,-4000,-16825,-240614,-128,0,2,1
0.039936,15,30000,-14925,-43748,-15,0,-15,1
0.040192,-31,-62000,-16300,-524976,-295,0,31,2
0.040448,-17,-34000,-15475,-382795,-212,0,17,1
0.040704,18,36000,-16800,43748,30,0,-18,0
0.040960,64,128000,-15150,524976,311,0,-64,1
0.041216,-48,-96000,-16950,-721842,-408,0,48,2
0.041472,-44,-88000,-14475,-689031,-387,0,44,2
0.041728,9,18000,-15575,-87496,-42,0,-9,1
0.041984,-38,-76000,-20325,-557787,-320,0,38,2
0.042240,-24,-48000,-20600,-404669,-232,0,24,1
0.042496,-25,-50000,-21375,-404669,-233,0,25,1
0.042752,57,114000,-17775,470291,276,0,-57,1
0.043008,49,98000,-12625,317173,196,0,-49,0
0.043264,12,24000,-8850,-131244,-57,0,-12,1
0.043520,-3,-6000,-10450,-251551,-131,0,3,1
0.043776,-51,-102000,-7275,-820275,-454,0,51,2
0.044032,-13,-26000,-8975,-360921,-194,0,13,1
0.044288,-21,-42000,-10450,-415606,-229,0,21,1
0.044544,-38,-76000,-14050,-568724,-322,0,38,2
0.044800,3,6000,-12875,-120307,-63,0,-3,1
0.045056,12,24000,-13175,-10937,-1,0,-12,1
0.045312,-26,-52000,-13050,-437480,-246,0,26,1
0.045568,17,34000,-11300,21874,21,0,-17,0
0.045824,4,8000,-9675,-142181,-71,0,-4,1
0.046080,3,6000,-11100,-142181,-72,0,-3,1
0.046336,-18,-36000,-11950,-371858,-205,0,18,1
0.046592,-22,-44000,-14850,-382795,-216,0,22,1
0.046848,48,96000,-12525,371858,222,0,-48,0
0.047104,-12,-24000,-13225,-306236,-168,0,12,1
0.047360,4,8000,-13275,-131244,-67,0,-4,1
0.047616,-6,-12000,-14900,-229677,-126,0,6,1
0.047872,23,46000,-13800,76559,53,0,-23,0
0.048128,-28,-56000,-14700,-481228,-270,0,28,2
0.048384,-25,-50000,-15200,-448417,-251,0,25,1
0.048640,-3,-6000,-16700,-174992,-97,0,3,1
0.048896,-12,-24000,-19175,-251551,-144,0,12,1
0.049152,-48,-96000,-19925,-667157,-383,0,48,2
0.049408,-25,-50000,-18625,-426543,-242,0,25,1
0.049664,-41,-82000,-18850,-601535,-343,0,41,2
0.049920,11,22000,-14475,-76559,-34,0,-11,1
0.050176,-17,-34000,-14450,-382795,-211,0,17,1
0.050432,-31,-62000,-16150,-503102,-284,0,31,2
0.050688,-29,-58000,-18800,-448417,-257,0,29,2
0.050944,-62,-124000,-22450,-787464,-457,0,62,2
0.051200,56,112000,-21875,514039,295,0,-56,1
0.051456,39,78000,-24075,328110,186,0,-39,0
0.051712,-33,-66000,-24750,-492165,-285,0,33,2
0.051968,30,60000,-21675,164055,98,0,-30,0
0.052224,-23,-46000,-23925,-404669,-232,0,23,1
0.052480,11,22000,-27175,21874,8,0,-11,0
0.052736,24,48000,-26550,142181,79,0,-24,0
0.052992,-12,-24000,-27475,-262488,-154,0,12,1
0.053248,7,14000,-29075,-43748,-29,0,-7,1
0.053504,16,32000,-24800,0,3,0,-16,0
0.053760,46,92000,-23625,339047,198,0,-46,0
0.054016,-13,-26000,-25450,-295299,-170,0,13,1
0.054272,9,18000,-26100,-54685,-31,0,-9,1
0.054528,-10,-20000,-28600,-240614,-142,0,10,1
0.054784,-23,-46000,-30525,-382795,-225,0,23,1
0.055040,2,4000,-30650,-120307,-72,0,-2,1
0.055296,21,42000,-32900,109370,57,0,-21,0
0.055552,-33,-66000,-32050,-514039,-299,0,33,2
0.055808,56,112000,-32775,492165,278,0,-56,1
0.056064,8,16000,-29900,-98433,-55,0,-8,1
0.056320,47,94000,-24325,273425,167,0,-47,0
0.056576,-45,-90000,-25675,-710905,-404,0,45,2
0.056832,46,92000,-27275,328110,191,0,-46,0
0.057088,23,46000,-27875,87496,51,0,-23,0
0.057344,48,96000,-27650,360921,209,0,-48,0
0.057600,-37,-74000,-28150,-590598,-339,0,37,2
0.057856,-43,-86000,-30250,-623409,-362,0,43,2
0.058112,-21,-42000,-27350,-415606,-237,0,21,1
0.058368,62,124000,-27700,535913,308,0,-62,1
0.058624,7,14000,-27425,-87496,-50,0,-7,1
0.058880,-11,-22000,-25250,-306236,-173,0,11,1
0.059136,24,48000,-25925,98433,58,0,-24,0
0.059392,-8,-16000,-23550,-284362,-159,0,8,1
0.059648,-3,-6000,-22675,-240614,-132,0,3,1
0.059904,-12,-24000,-25075,-317173,-179,0,12,1
0.060160,-27,-54000,-27700,-459354,-265,0,27,2
0.060416,13,26000,-28750,10937,3,0,-13,0
0.060672,-22,-44000,-26500,-426543,-243,0,22,1
